
Entrez Gene Id	Gene Symbol	Gene Description	REACTOME_MITOTIC_PROMETAPHASE	REACTOME_GLUCOSE_METABOLISM	REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	REACTOME_HIV_LIFE_CYCLE	REACTOME_M_PHASE	REACTOME_GLUCONEOGENESIS	REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	REACTOME_HIV_INFECTION	REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	REACTOME_CELL_CYCLE_MITOTIC	REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME	REACTOME_METABOLISM_OF_CARBOHYDRATES	REACTOME_CELL_CYCLE	REACTOME_RNA_POLYMERASE_II_TRANSCRIBES_SNRNA_GENES	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	REACTOME_MITOTIC_SPINDLE_CHECKPOINT	REACTOME_INFECTIOUS_DISEASE	REACTOME_RHO_GTPASES_ACTIVATE_FORMINS	REACTOME_DISEASE	REACTOME_REGULATION_OF_TP53_ACTIVITY	REACTOME_MEMBRANE_TRAFFICKING	REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES	REACTOME_METABOLISM_OF_RNA	REACTOME_VESICLE_MEDIATED_TRANSPORT	REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	REACTOME_CELL_CYCLE_CHECKPOINTS	REACTOME_DEUBIQUITINATION	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION
6396	SEC13	SEC13 homolog, nuclear pore and COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10697]	REACTOME_MITOTIC_PROMETAPHASE	REACTOME_GLUCOSE_METABOLISM	REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	REACTOME_HIV_LIFE_CYCLE	REACTOME_M_PHASE		REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	REACTOME_HIV_INFECTION	REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	REACTOME_CELL_CYCLE_MITOTIC		REACTOME_METABOLISM_OF_CARBOHYDRATES	REACTOME_CELL_CYCLE			REACTOME_MITOTIC_SPINDLE_CHECKPOINT	REACTOME_INFECTIOUS_DISEASE	REACTOME_RHO_GTPASES_ACTIVATE_FORMINS	REACTOME_DISEASE		REACTOME_MEMBRANE_TRAFFICKING		REACTOME_METABOLISM_OF_RNA	REACTOME_VESICLE_MEDIATED_TRANSPORT		REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	REACTOME_CELL_CYCLE_CHECKPOINTS			REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION
9183	ZW10	zw10 kinetochore protein [Source:HGNC Symbol;Acc:HGNC:13194]	REACTOME_MITOTIC_PROMETAPHASE		REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION		REACTOME_M_PHASE		REACTOME_SEPARATION_OF_SISTER_CHROMATIDS		REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	REACTOME_CELL_CYCLE_MITOTIC			REACTOME_CELL_CYCLE			REACTOME_MITOTIC_SPINDLE_CHECKPOINT		REACTOME_RHO_GTPASES_ACTIVATE_FORMINS			REACTOME_MEMBRANE_TRAFFICKING			REACTOME_VESICLE_MEDIATED_TRANSPORT			REACTOME_CELL_CYCLE_CHECKPOINTS			
113130	CDCA5	cell division cycle associated 5 [Source:HGNC Symbol;Acc:HGNC:14626]	REACTOME_MITOTIC_PROMETAPHASE		REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION		REACTOME_M_PHASE		REACTOME_SEPARATION_OF_SISTER_CHROMATIDS		REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	REACTOME_CELL_CYCLE_MITOTIC			REACTOME_CELL_CYCLE																	
23397	NCAPH	non-SMC condensin I complex subunit H [Source:HGNC Symbol;Acc:HGNC:1112]	REACTOME_MITOTIC_PROMETAPHASE				REACTOME_M_PHASE					REACTOME_CELL_CYCLE_MITOTIC			REACTOME_CELL_CYCLE																	
4191	MDH2	malate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6971]		REACTOME_GLUCOSE_METABOLISM				REACTOME_GLUCONEOGENESIS						REACTOME_METABOLISM_OF_CARBOHYDRATES																		
5106	PCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:8725]		REACTOME_GLUCOSE_METABOLISM				REACTOME_GLUCONEOGENESIS						REACTOME_METABOLISM_OF_CARBOHYDRATES																		
6878	TAF6	TATA-box binding protein associated factor 6 [Source:HGNC Symbol;Acc:HGNC:11540]				REACTOME_HIV_LIFE_CYCLE				REACTOME_HIV_INFECTION			REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME			REACTOME_RNA_POLYMERASE_II_TRANSCRIBES_SNRNA_GENES	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53		REACTOME_INFECTIOUS_DISEASE		REACTOME_DISEASE	REACTOME_REGULATION_OF_TP53_ACTIVITY					REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION					
6829	SUPT5H	SPT5 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11469]				REACTOME_HIV_LIFE_CYCLE				REACTOME_HIV_INFECTION			REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME			REACTOME_RNA_POLYMERASE_II_TRANSCRIBES_SNRNA_GENES	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53		REACTOME_INFECTIOUS_DISEASE		REACTOME_DISEASE				REACTOME_METABOLISM_OF_RNA		REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION					
7874	USP7	ubiquitin specific peptidase 7 [Source:HGNC Symbol;Acc:HGNC:12630]															REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53					REACTOME_REGULATION_OF_TP53_ACTIVITY		REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES			REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION		REACTOME_DEUBIQUITINATION		
