
Entrez Gene Id	Gene Symbol	Gene Description	MODULE_202	MODULE_524	MODULE_419	MODULE_72	MODULE_1	MODULE_2	MODULE_3	MODULE_118	MODULE_52	MODULE_45
2316	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]	MODULE_202	MODULE_524	MODULE_419	MODULE_72	MODULE_1	MODULE_2	MODULE_3	MODULE_118	MODULE_52	MODULE_45
2317	FLNB	filamin B [Source:HGNC Symbol;Acc:HGNC:3755]	MODULE_202	MODULE_524	MODULE_419							
9590	AKAP12	A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370]				MODULE_72	MODULE_1	MODULE_2	MODULE_3	MODULE_118	MODULE_52	
2634	GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]										MODULE_45
9208	LRRFIP1	LRR binding FLII interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:6702]										
23347	SMCHD1	structural maintenance of chromosomes flexible hinge domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29090]										
1399	CRKL	CRK like proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2363]										
54890	ALKBH5	alkB homolog 5, RNA demethylase [Source:HGNC Symbol;Acc:HGNC:25996]										
47	ACLY	ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115]										
23464	GCAT	glycine C-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:4188]										
1939	EIF2D	eukaryotic translation initiation factor 2D [Source:HGNC Symbol;Acc:HGNC:6583]										
27143	PALD1	phosphatase domain containing paladin 1 [Source:HGNC Symbol;Acc:HGNC:23530]										
4628	MYH10	myosin heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:7568]										
7874	USP7	ubiquitin specific peptidase 7 [Source:HGNC Symbol;Acc:HGNC:12630]										
