
Entrez Gene Id	Gene Symbol	Gene Description	GO_TRANSCYTOSIS	GO_TRANSFERRIN_TRANSPORT	GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	GO_NEGATIVE_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	GO_CYTOSKELETON_ORGANIZATION	GO_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	GO_ACTIN_FILAMENT_BASED_PROCESS	GO_RNA_DEPENDENT_DNA_BIOSYNTHETIC_PROCESS	GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	GO_IRON_ION_TRANSPORT	GO_POSITIVE_REGULATION_OF_CELL_CYCLE_ARREST	GO_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING	GO_POSITIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	GO_RETROGRADE_TRANSPORT_ENDOSOME_TO_GOLGI	GO_REGULATION_OF_PROTEIN_LOCALIZATION	GO_REGULATION_OF_CELL_CYCLE_ARREST	GO_REGULATION_OF_CELLULAR_LOCALIZATION	GO_NEGATIVE_REGULATION_OF_CELLULAR_PROTEIN_LOCALIZATION	GO_TRANSITION_METAL_ION_TRANSPORT	GO_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	GO_HOMEOSTATIC_PROCESS	GO_PROCESS_UTILIZING_AUTOPHAGIC_MECHANISM	GO_CELLULAR_MACROMOLECULE_LOCALIZATION	GO_REGULATION_OF_CELLULAR_PROTEIN_LOCALIZATION	GO_VACUOLAR_TRANSPORT	GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	GO_CYTOSOLIC_TRANSPORT	GO_REGULATION_OF_ORGANELLE_ORGANIZATION	GO_TELOMERE_ORGANIZATION	GO_REGULATION_OF_MACROAUTOPHAGY	GO_PROTEIN_LOCALIZATION_TO_MEMBRANE	GO_DNA_BIOSYNTHETIC_PROCESS	GO_REGULATION_OF_RAS_PROTEIN_SIGNAL_TRANSDUCTION	GO_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND
1213	CLTC	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]	GO_TRANSCYTOSIS	GO_TRANSFERRIN_TRANSPORT	GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE		GO_CYTOSKELETON_ORGANIZATION				GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	GO_IRON_ION_TRANSPORT				GO_RETROGRADE_TRANSPORT_ENDOSOME_TO_GOLGI	GO_REGULATION_OF_PROTEIN_LOCALIZATION		GO_REGULATION_OF_CELLULAR_LOCALIZATION	GO_NEGATIVE_REGULATION_OF_CELLULAR_PROTEIN_LOCALIZATION	GO_TRANSITION_METAL_ION_TRANSPORT			GO_PROCESS_UTILIZING_AUTOPHAGIC_MECHANISM	GO_CELLULAR_MACROMOLECULE_LOCALIZATION	GO_REGULATION_OF_CELLULAR_PROTEIN_LOCALIZATION			GO_CYTOSOLIC_TRANSPORT	GO_REGULATION_OF_ORGANELLE_ORGANIZATION			GO_PROTEIN_LOCALIZATION_TO_MEMBRANE			
55737	VPS35	VPS35 retromer complex component [Source:HGNC Symbol;Acc:HGNC:13487]	GO_TRANSCYTOSIS		GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE						GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY				GO_POSITIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	GO_RETROGRADE_TRANSPORT_ENDOSOME_TO_GOLGI	GO_REGULATION_OF_PROTEIN_LOCALIZATION		GO_REGULATION_OF_CELLULAR_LOCALIZATION	GO_NEGATIVE_REGULATION_OF_CELLULAR_PROTEIN_LOCALIZATION				GO_PROCESS_UTILIZING_AUTOPHAGIC_MECHANISM	GO_CELLULAR_MACROMOLECULE_LOCALIZATION	GO_REGULATION_OF_CELLULAR_PROTEIN_LOCALIZATION	GO_VACUOLAR_TRANSPORT		GO_CYTOSOLIC_TRANSPORT	GO_REGULATION_OF_ORGANELLE_ORGANIZATION		GO_REGULATION_OF_MACROAUTOPHAGY	GO_PROTEIN_LOCALIZATION_TO_MEMBRANE			GO_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND
9114	ATP6V0D1	ATPase H+ transporting V0 subunit d1 [Source:HGNC Symbol;Acc:HGNC:13724]		GO_TRANSFERRIN_TRANSPORT								GO_IRON_ION_TRANSPORT									GO_TRANSITION_METAL_ION_TRANSPORT		GO_HOMEOSTATIC_PROCESS	GO_PROCESS_UTILIZING_AUTOPHAGIC_MECHANISM			GO_VACUOLAR_TRANSPORT					GO_REGULATION_OF_MACROAUTOPHAGY				GO_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND
55667	DENND4C	DENN domain containing 4C [Source:HGNC Symbol;Acc:HGNC:26079]			GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE			GO_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION			GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY											GO_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION			GO_CELLULAR_MACROMOLECULE_LOCALIZATION								GO_PROTEIN_LOCALIZATION_TO_MEMBRANE		GO_REGULATION_OF_RAS_PROTEIN_SIGNAL_TRANSDUCTION	GO_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND
84952	CGNL1	cingulin like 1 [Source:HGNC Symbol;Acc:HGNC:25931]				GO_NEGATIVE_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	GO_CYTOSKELETON_ORGANIZATION	GO_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	GO_ACTIN_FILAMENT_BASED_PROCESS													GO_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION						GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION		GO_REGULATION_OF_ORGANELLE_ORGANIZATION						
22821	RASA3	RAS p21 protein activator 3 [Source:HGNC Symbol;Acc:HGNC:20331]				GO_NEGATIVE_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION		GO_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION											GO_REGULATION_OF_CELLULAR_LOCALIZATION			GO_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	GO_HOMEOSTATIC_PROCESS												GO_REGULATION_OF_RAS_PROTEIN_SIGNAL_TRANSDUCTION	
1809	DPYSL3	dihydropyrimidinase like 3 [Source:HGNC Symbol;Acc:HGNC:3015]					GO_CYTOSKELETON_ORGANIZATION		GO_ACTIN_FILAMENT_BASED_PROCESS																			GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION								
2317	FLNB	filamin B [Source:HGNC Symbol;Acc:HGNC:3755]					GO_CYTOSKELETON_ORGANIZATION		GO_ACTIN_FILAMENT_BASED_PROCESS																											
2275	FHL3	four and a half LIM domains 3 [Source:HGNC Symbol;Acc:HGNC:3704]					GO_CYTOSKELETON_ORGANIZATION		GO_ACTIN_FILAMENT_BASED_PROCESS																											
