
Entrez Gene Id	Gene Symbol	Gene Description	GO_ROUGH_ENDOPLASMIC_RETICULUM	GO_AZUROPHIL_GRANULE	GO_ENDOPLASMIC_RETICULUM	GO_POLYSOMAL_RIBOSOME	GO_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT	GO_POLYSOME	GO_SMALL_RIBOSOMAL_SUBUNIT	GO_AZUROPHIL_GRANULE_LUMEN	GO_LIPID_DROPLET	GO_CYTOSOLIC_RIBOSOME	GO_FICOLIN_1_RICH_GRANULE	GO_PERINUCLEAR_REGION_OF_CYTOPLASM	GO_VACUOLAR_LUMEN	GO_VACUOLE	GO_RIBOSOMAL_SUBUNIT	GO_SECRETORY_GRANULE	GO_RIBONUCLEOPROTEIN_GRANULE	GO_SECRETORY_VESICLE	GO_RIBOSOME	GO_ENDOPLASMIC_RETICULUM_LUMEN	GO_VESICLE_LUMEN	GO_SUPRAMOLECULAR_COMPLEX	GO_RIBONUCLEOPROTEIN_COMPLEX	GO_VESICLE_MEMBRANE
10970	CKAP4	cytoskeleton associated protein 4 [Source:HGNC Symbol;Acc:HGNC:16991]	GO_ROUGH_ENDOPLASMIC_RETICULUM	GO_AZUROPHIL_GRANULE	GO_ENDOPLASMIC_RETICULUM						GO_LIPID_DROPLET			GO_PERINUCLEAR_REGION_OF_CYTOPLASM		GO_VACUOLE		GO_SECRETORY_GRANULE	GO_RIBONUCLEOPROTEIN_GRANULE	GO_SECRETORY_VESICLE		GO_ENDOPLASMIC_RETICULUM_LUMEN		GO_SUPRAMOLECULAR_COMPLEX		GO_VESICLE_MEMBRANE
6227	RPS21	ribosomal protein S21 [Source:HGNC Symbol;Acc:HGNC:10409]	GO_ROUGH_ENDOPLASMIC_RETICULUM		GO_ENDOPLASMIC_RETICULUM	GO_POLYSOMAL_RIBOSOME	GO_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT	GO_POLYSOME	GO_SMALL_RIBOSOMAL_SUBUNIT			GO_CYTOSOLIC_RIBOSOME					GO_RIBOSOMAL_SUBUNIT				GO_RIBOSOME				GO_RIBONUCLEOPROTEIN_COMPLEX	
6228	RPS23	ribosomal protein S23 [Source:HGNC Symbol;Acc:HGNC:10410]	GO_ROUGH_ENDOPLASMIC_RETICULUM		GO_ENDOPLASMIC_RETICULUM	GO_POLYSOMAL_RIBOSOME	GO_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT	GO_POLYSOME	GO_SMALL_RIBOSOMAL_SUBUNIT			GO_CYTOSOLIC_RIBOSOME					GO_RIBOSOMAL_SUBUNIT				GO_RIBOSOME				GO_RIBONUCLEOPROTEIN_COMPLEX	
7415	VCP	valosin containing protein [Source:HGNC Symbol;Acc:HGNC:12666]		GO_AZUROPHIL_GRANULE	GO_ENDOPLASMIC_RETICULUM					GO_AZUROPHIL_GRANULE_LUMEN	GO_LIPID_DROPLET		GO_FICOLIN_1_RICH_GRANULE	GO_PERINUCLEAR_REGION_OF_CYTOPLASM	GO_VACUOLAR_LUMEN	GO_VACUOLE		GO_SECRETORY_GRANULE	GO_RIBONUCLEOPROTEIN_GRANULE	GO_SECRETORY_VESICLE			GO_VESICLE_LUMEN	GO_SUPRAMOLECULAR_COMPLEX		
10694	CCT8	chaperonin containing TCP1 subunit 8 [Source:HGNC Symbol;Acc:HGNC:1623]		GO_AZUROPHIL_GRANULE						GO_AZUROPHIL_GRANULE_LUMEN			GO_FICOLIN_1_RICH_GRANULE		GO_VACUOLAR_LUMEN	GO_VACUOLE		GO_SECRETORY_GRANULE		GO_SECRETORY_VESICLE			GO_VESICLE_LUMEN	GO_SUPRAMOLECULAR_COMPLEX		
2098	ESD	esterase D [Source:HGNC Symbol;Acc:HGNC:3465]			GO_ENDOPLASMIC_RETICULUM																	GO_ENDOPLASMIC_RETICULUM_LUMEN				
307	ANXA4	annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]												GO_PERINUCLEAR_REGION_OF_CYTOPLASM												GO_VESICLE_MEMBRANE
291	SLC25A4	solute carrier family 25 member 4 [Source:HGNC Symbol;Acc:HGNC:10990]																								
6667	SP1	Sp1 transcription factor [Source:HGNC Symbol;Acc:HGNC:11205]																								
10654	PMVK	phosphomevalonate kinase [Source:HGNC Symbol;Acc:HGNC:9141]																								
