
Entrez Gene Id	Gene Symbol	Gene Description	HP_DECREASED_ABSENT_ANKLE_REFLEXES	HP_FACIAL_DIPLEGIA	HP_SHOULDER_GIRDLE_MUSCLE_WEAKNESS	HP_DIFFICULTY_CLIMBING_STAIRS	HP_AREFLEXIA_OF_LOWER_LIMBS	HP_LIMB_GIRDLE_MUSCLE_WEAKNESS	HP_ABNORMAL_CELLULAR_PHENOTYPE	HP_FREQUENT_FALLS	HP_WEAKNESS_OF_MUSCLES_OF_RESPIRATION	HP_ABNORMALITY_OF_THE_SHOULDER_GIRDLE_MUSCULATURE	HP_EMG_MYOPATHIC_ABNORMALITIES	HP_GENERALIZED_MUSCLE_WEAKNESS	HP_PERIPHERAL_AXONAL_NEUROPATHY	HP_MUSCLE_SPASM	HP_MYALGIA	HP_ABNORMALITY_OF_THE_MITOCHONDRION	HP_PERIPHERAL_AXONAL_DEGENERATION	HP_ABNORMALITY_OF_THE_MUSCULATURE_OF_THE_UPPER_LIMBS	HP_ADULT_ONSET	HP_INCOORDINATION	HP_PROXIMAL_MUSCLE_WEAKNESS	HP_LIMB_MUSCLE_WEAKNESS	HP_ABNORMAL_MUSCLE_FIBER_MORPHOLOGY	HP_WEAKNESS_OF_FACIAL_MUSCULATURE	HP_ABNORMALITY_OF_EXTRAPYRAMIDAL_MOTOR_FUNCTION	HP_AREFLEXIA	HP_EMG_ABNORMALITY	HP_ABNORMAL_CRANIAL_NERVE_MORPHOLOGY	HP_ABNORMALITY_OF_CIRCULATING_ENZYME_LEVEL	HP_PROGRESSIVE	HP_ABNORMAL_CRANIAL_NERVE_PHYSIOLOGY	HP_ABNORMAL_FEAR_ANXIETY_RELATED_BEHAVIOR	HP_ABNORMALITY_OF_FACIAL_MUSCULATURE	HP_MYOPATHY	HP_DEPRESSIVITY	HP_HYPOREFLEXIA	HP_FATIGUE	HP_DYSPHAGIA	HP_ABNORMALITY_OF_THE_BLADDER	HP_ABNORMALITY_OF_FACIAL_SOFT_TISSUE	HP_CLINICAL_COURSE	HP_DYSPNEA	HP_FUNCTIONAL_MOTOR_DEFICIT	HP_ABNORMALITY_OF_THE_MUSCULATURE_OF_THE_LIMBS	HP_ABNORMAL_CIRCULATING_PROTEIN_LEVEL	HP_AUTISTIC_BEHAVIOR	HP_PACE_OF_PROGRESSION	HP_SKELETAL_MUSCLE_ATROPHY	HP_DYSARTHRIA	HP_ABNORMAL_MYOCARDIUM_MORPHOLOGY	HP_TREMOR	HP_REDUCED_TENDON_REFLEXES	HP_RESPIRATORY_INSUFFICIENCY	HP_ABNORMALITY_OF_BONE_MINERAL_DENSITY	HP_IMPAIRMENT_IN_PERSONALITY_FUNCTIONING	HP_ABNORMALITY_OF_ESOPHAGUS_PHYSIOLOGY	HP_PERIPHERAL_NEUROPATHY	HP_ABNORMALITY_OF_MUSCLE_SIZE	HP_PTOSIS	HP_COGNITIVE_IMPAIRMENT	HP_PAIN	HP_ABNORMALITY_OF_THE_LOWER_URINARY_TRACT	HP_ABNORMAL_BONE_STRUCTURE	HP_ABNORMALITY_OF_THE_LENS
291	SLC25A4	solute carrier family 25 member 4 [Source:HGNC Symbol;Acc:HGNC:10990]	HP_DECREASED_ABSENT_ANKLE_REFLEXES	HP_FACIAL_DIPLEGIA	HP_SHOULDER_GIRDLE_MUSCLE_WEAKNESS	HP_DIFFICULTY_CLIMBING_STAIRS	HP_AREFLEXIA_OF_LOWER_LIMBS	HP_LIMB_GIRDLE_MUSCLE_WEAKNESS	HP_ABNORMAL_CELLULAR_PHENOTYPE	HP_FREQUENT_FALLS	HP_WEAKNESS_OF_MUSCLES_OF_RESPIRATION	HP_ABNORMALITY_OF_THE_SHOULDER_GIRDLE_MUSCULATURE	HP_EMG_MYOPATHIC_ABNORMALITIES	HP_GENERALIZED_MUSCLE_WEAKNESS	HP_PERIPHERAL_AXONAL_NEUROPATHY	HP_MUSCLE_SPASM	HP_MYALGIA	HP_ABNORMALITY_OF_THE_MITOCHONDRION	HP_PERIPHERAL_AXONAL_DEGENERATION	HP_ABNORMALITY_OF_THE_MUSCULATURE_OF_THE_UPPER_LIMBS	HP_ADULT_ONSET	HP_INCOORDINATION	HP_PROXIMAL_MUSCLE_WEAKNESS	HP_LIMB_MUSCLE_WEAKNESS	HP_ABNORMAL_MUSCLE_FIBER_MORPHOLOGY	HP_WEAKNESS_OF_FACIAL_MUSCULATURE	HP_ABNORMALITY_OF_EXTRAPYRAMIDAL_MOTOR_FUNCTION	HP_AREFLEXIA	HP_EMG_ABNORMALITY	HP_ABNORMAL_CRANIAL_NERVE_MORPHOLOGY	HP_ABNORMALITY_OF_CIRCULATING_ENZYME_LEVEL	HP_PROGRESSIVE	HP_ABNORMAL_CRANIAL_NERVE_PHYSIOLOGY	HP_ABNORMAL_FEAR_ANXIETY_RELATED_BEHAVIOR	HP_ABNORMALITY_OF_FACIAL_MUSCULATURE	HP_MYOPATHY	HP_DEPRESSIVITY	HP_HYPOREFLEXIA	HP_FATIGUE	HP_DYSPHAGIA	HP_ABNORMALITY_OF_THE_BLADDER	HP_ABNORMALITY_OF_FACIAL_SOFT_TISSUE	HP_CLINICAL_COURSE	HP_DYSPNEA	HP_FUNCTIONAL_MOTOR_DEFICIT	HP_ABNORMALITY_OF_THE_MUSCULATURE_OF_THE_LIMBS	HP_ABNORMAL_CIRCULATING_PROTEIN_LEVEL		HP_PACE_OF_PROGRESSION	HP_SKELETAL_MUSCLE_ATROPHY	HP_DYSARTHRIA	HP_ABNORMAL_MYOCARDIUM_MORPHOLOGY	HP_TREMOR	HP_REDUCED_TENDON_REFLEXES	HP_RESPIRATORY_INSUFFICIENCY	HP_ABNORMALITY_OF_BONE_MINERAL_DENSITY	HP_IMPAIRMENT_IN_PERSONALITY_FUNCTIONING	HP_ABNORMALITY_OF_ESOPHAGUS_PHYSIOLOGY	HP_PERIPHERAL_NEUROPATHY	HP_ABNORMALITY_OF_MUSCLE_SIZE	HP_PTOSIS	HP_COGNITIVE_IMPAIRMENT	HP_PAIN	HP_ABNORMALITY_OF_THE_LOWER_URINARY_TRACT	HP_ABNORMAL_BONE_STRUCTURE	HP_ABNORMALITY_OF_THE_LENS
7415	VCP	valosin containing protein [Source:HGNC Symbol;Acc:HGNC:12666]	HP_DECREASED_ABSENT_ANKLE_REFLEXES	HP_FACIAL_DIPLEGIA	HP_SHOULDER_GIRDLE_MUSCLE_WEAKNESS	HP_DIFFICULTY_CLIMBING_STAIRS	HP_AREFLEXIA_OF_LOWER_LIMBS	HP_LIMB_GIRDLE_MUSCLE_WEAKNESS	HP_ABNORMAL_CELLULAR_PHENOTYPE	HP_FREQUENT_FALLS	HP_WEAKNESS_OF_MUSCLES_OF_RESPIRATION	HP_ABNORMALITY_OF_THE_SHOULDER_GIRDLE_MUSCULATURE	HP_EMG_MYOPATHIC_ABNORMALITIES	HP_GENERALIZED_MUSCLE_WEAKNESS	HP_PERIPHERAL_AXONAL_NEUROPATHY	HP_MUSCLE_SPASM	HP_MYALGIA	HP_ABNORMALITY_OF_THE_MITOCHONDRION	HP_PERIPHERAL_AXONAL_DEGENERATION	HP_ABNORMALITY_OF_THE_MUSCULATURE_OF_THE_UPPER_LIMBS		HP_INCOORDINATION	HP_PROXIMAL_MUSCLE_WEAKNESS	HP_LIMB_MUSCLE_WEAKNESS	HP_ABNORMAL_MUSCLE_FIBER_MORPHOLOGY	HP_WEAKNESS_OF_FACIAL_MUSCULATURE	HP_ABNORMALITY_OF_EXTRAPYRAMIDAL_MOTOR_FUNCTION	HP_AREFLEXIA	HP_EMG_ABNORMALITY	HP_ABNORMAL_CRANIAL_NERVE_MORPHOLOGY	HP_ABNORMALITY_OF_CIRCULATING_ENZYME_LEVEL	HP_PROGRESSIVE	HP_ABNORMAL_CRANIAL_NERVE_PHYSIOLOGY	HP_ABNORMAL_FEAR_ANXIETY_RELATED_BEHAVIOR	HP_ABNORMALITY_OF_FACIAL_MUSCULATURE	HP_MYOPATHY	HP_DEPRESSIVITY	HP_HYPOREFLEXIA	HP_FATIGUE	HP_DYSPHAGIA	HP_ABNORMALITY_OF_THE_BLADDER	HP_ABNORMALITY_OF_FACIAL_SOFT_TISSUE	HP_CLINICAL_COURSE	HP_DYSPNEA	HP_FUNCTIONAL_MOTOR_DEFICIT	HP_ABNORMALITY_OF_THE_MUSCULATURE_OF_THE_LIMBS	HP_ABNORMAL_CIRCULATING_PROTEIN_LEVEL	HP_AUTISTIC_BEHAVIOR	HP_PACE_OF_PROGRESSION	HP_SKELETAL_MUSCLE_ATROPHY	HP_DYSARTHRIA	HP_ABNORMAL_MYOCARDIUM_MORPHOLOGY	HP_TREMOR	HP_REDUCED_TENDON_REFLEXES	HP_RESPIRATORY_INSUFFICIENCY	HP_ABNORMALITY_OF_BONE_MINERAL_DENSITY	HP_IMPAIRMENT_IN_PERSONALITY_FUNCTIONING	HP_ABNORMALITY_OF_ESOPHAGUS_PHYSIOLOGY	HP_PERIPHERAL_NEUROPATHY	HP_ABNORMALITY_OF_MUSCLE_SIZE	HP_PTOSIS	HP_COGNITIVE_IMPAIRMENT	HP_PAIN	HP_ABNORMALITY_OF_THE_LOWER_URINARY_TRACT	HP_ABNORMAL_BONE_STRUCTURE	HP_ABNORMALITY_OF_THE_LENS
10654	PMVK	phosphomevalonate kinase [Source:HGNC Symbol;Acc:HGNC:9141]							HP_ABNORMAL_CELLULAR_PHENOTYPE												HP_ADULT_ONSET																						HP_CLINICAL_COURSE																							
6228	RPS23	ribosomal protein S23 [Source:HGNC Symbol;Acc:HGNC:10410]																																														HP_AUTISTIC_BEHAVIOR																		
10694	CCT8	chaperonin containing TCP1 subunit 8 [Source:HGNC Symbol;Acc:HGNC:1623]																																																																
10970	CKAP4	cytoskeleton associated protein 4 [Source:HGNC Symbol;Acc:HGNC:16991]																																																																
2098	ESD	esterase D [Source:HGNC Symbol;Acc:HGNC:3465]																																																																
307	ANXA4	annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]																																																																
6227	RPS21	ribosomal protein S21 [Source:HGNC Symbol;Acc:HGNC:10409]																																																																
