
Entrez Gene Id	Gene Symbol	Gene Description	REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI	REACTOME_INFECTIOUS_DISEASE	REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP_	REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF_	REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	REACTOME_NEUTROPHIL_DEGRANULATION	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	REACTOME_NONSENSE_MEDIATED_DECAY_NMD_	REACTOME_SELENOAMINO_ACID_METABOLISM	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	REACTOME_DISEASE	REACTOME_METABOLISM_OF_STEROIDS	REACTOME_INFLUENZA_INFECTION	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	REACTOME_RRNA_PROCESSING	REACTOME_SIGNALING_BY_ROBO_RECEPTORS	REACTOME_INNATE_IMMUNE_SYSTEM	REACTOME_TRANSLATION	REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	REACTOME_METABOLISM_OF_RNA	REACTOME_TRANSPORT_OF_SMALL_MOLECULES	REACTOME_METABOLISM_OF_LIPIDS
6227	RPS21	ribosomal protein S21 [Source:HGNC Symbol;Acc:HGNC:10409]	REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI	REACTOME_INFECTIOUS_DISEASE			REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S		REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	REACTOME_NONSENSE_MEDIATED_DECAY_NMD_	REACTOME_SELENOAMINO_ACID_METABOLISM	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	REACTOME_DISEASE		REACTOME_INFLUENZA_INFECTION	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	REACTOME_RRNA_PROCESSING	REACTOME_SIGNALING_BY_ROBO_RECEPTORS		REACTOME_TRANSLATION	REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	REACTOME_METABOLISM_OF_RNA		
6228	RPS23	ribosomal protein S23 [Source:HGNC Symbol;Acc:HGNC:10410]	REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI	REACTOME_INFECTIOUS_DISEASE			REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S		REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	REACTOME_NONSENSE_MEDIATED_DECAY_NMD_	REACTOME_SELENOAMINO_ACID_METABOLISM	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	REACTOME_DISEASE		REACTOME_INFLUENZA_INFECTION	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	REACTOME_RRNA_PROCESSING	REACTOME_SIGNALING_BY_ROBO_RECEPTORS		REACTOME_TRANSLATION	REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	REACTOME_METABOLISM_OF_RNA		
7415	VCP	valosin containing protein [Source:HGNC Symbol;Acc:HGNC:12666]	REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI	REACTOME_INFECTIOUS_DISEASE				REACTOME_NEUTROPHIL_DEGRANULATION							REACTOME_DISEASE						REACTOME_INNATE_IMMUNE_SYSTEM					REACTOME_TRANSPORT_OF_SMALL_MOLECULES	
6667	SP1	Sp1 transcription factor [Source:HGNC Symbol;Acc:HGNC:11205]	REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI		REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP_	REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF_										REACTOME_METABOLISM_OF_STEROIDS											REACTOME_METABOLISM_OF_LIPIDS
291	SLC25A4	solute carrier family 25 member 4 [Source:HGNC Symbol;Acc:HGNC:10990]		REACTOME_INFECTIOUS_DISEASE											REACTOME_DISEASE											REACTOME_TRANSPORT_OF_SMALL_MOLECULES	
10654	PMVK	phosphomevalonate kinase [Source:HGNC Symbol;Acc:HGNC:9141]			REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP_	REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF_										REACTOME_METABOLISM_OF_STEROIDS											REACTOME_METABOLISM_OF_LIPIDS
10970	CKAP4	cytoskeleton associated protein 4 [Source:HGNC Symbol;Acc:HGNC:16991]						REACTOME_NEUTROPHIL_DEGRANULATION													REACTOME_INNATE_IMMUNE_SYSTEM						
10694	CCT8	chaperonin containing TCP1 subunit 8 [Source:HGNC Symbol;Acc:HGNC:1623]						REACTOME_NEUTROPHIL_DEGRANULATION													REACTOME_INNATE_IMMUNE_SYSTEM						
2098	ESD	esterase D [Source:HGNC Symbol;Acc:HGNC:3465]																									
