
Entrez Gene Id	Gene Symbol	Gene Description	GO_POLYSOME	GO_POLYSOMAL_RIBOSOME	GO_RIBOSOME	GO_CYTOSOLIC_RIBOSOME	GO_RIBONUCLEOPROTEIN_COMPLEX	GO_RIBOSOMAL_SUBUNIT	GO_CONDENSED_CHROMOSOME	GO_NUCLEAR_MEMBRANE	GO_CELL_CORTEX	GO_ENVELOPE	GO_CELL_SUBSTRATE_JUNCTION	GO_NUCLEAR_ENVELOPE	GO_CELL_BODY
6135	RPL11	ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:10301]	GO_POLYSOME	GO_POLYSOMAL_RIBOSOME	GO_RIBOSOME	GO_CYTOSOLIC_RIBOSOME	GO_RIBONUCLEOPROTEIN_COMPLEX	GO_RIBOSOMAL_SUBUNIT							
6228	RPS23	ribosomal protein S23 [Source:HGNC Symbol;Acc:HGNC:10410]	GO_POLYSOME	GO_POLYSOMAL_RIBOSOME	GO_RIBOSOME	GO_CYTOSOLIC_RIBOSOME	GO_RIBONUCLEOPROTEIN_COMPLEX	GO_RIBOSOMAL_SUBUNIT							
10985	GCN1	GCN1 activator of EIF2AK4 [Source:HGNC Symbol;Acc:HGNC:4199]	GO_POLYSOME		GO_RIBOSOME		GO_RIBONUCLEOPROTEIN_COMPLEX								
79902	NUP85	nucleoporin 85 [Source:HGNC Symbol;Acc:HGNC:8734]							GO_CONDENSED_CHROMOSOME	GO_NUCLEAR_MEMBRANE		GO_ENVELOPE		GO_NUCLEAR_ENVELOPE	
10051	SMC4	structural maintenance of chromosomes 4 [Source:HGNC Symbol;Acc:HGNC:14013]							GO_CONDENSED_CHROMOSOME						
307	ANXA4	annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]								GO_NUCLEAR_MEMBRANE		GO_ENVELOPE		GO_NUCLEAR_ENVELOPE	
2316	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]									GO_CELL_CORTEX		GO_CELL_SUBSTRATE_JUNCTION		GO_CELL_BODY
9590	AKAP12	A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370]									GO_CELL_CORTEX		GO_CELL_SUBSTRATE_JUNCTION		GO_CELL_BODY
291	SLC25A4	solute carrier family 25 member 4 [Source:HGNC Symbol;Acc:HGNC:10990]										GO_ENVELOPE			
6667	SP1	Sp1 transcription factor [Source:HGNC Symbol;Acc:HGNC:11205]													
23256	SCFD1	sec1 family domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20726]													
