
Entrez Gene Id	Gene Symbol	Gene Description	REACTOME_SIGNALING_BY_CYTOSOLIC_FGFR1_FUSION_MUTANTS	REACTOME_RHO_GTPASE_EFFECTORS	REACTOME_DISEASE	REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES	REACTOME_FGFR1_MUTANT_RECEPTOR_ACTIVATION	REACTOME_SIGNALING_BY_RHO_GTPASES	REACTOME_REGULATION_OF_TP53_EXPRESSION_AND_DEGRADATION	REACTOME_SIGNALING_BY_FGFR1_IN_DISEASE	REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS	REACTOME_TRNA_PROCESSING_IN_THE_NUCLEUS	REACTOME_SIGNALING_BY_FGFR_IN_DISEASE	REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI	REACTOME_GLYCOLYSIS	REACTOME_CELL_CYCLE_CHECKPOINTS	REACTOME_METABOLISM_OF_RNA	REACTOME_PROTEIN_UBIQUITINATION	REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	REACTOME_GLUCOSE_METABOLISM	REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	REACTOME_MITOTIC_SPINDLE_CHECKPOINT	REACTOME_TRNA_PROCESSING	REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	REACTOME_RHO_GTPASES_ACTIVATE_FORMINS	REACTOME_INFLUENZA_INFECTION	REACTOME_REGULATION_OF_TP53_ACTIVITY	REACTOME_CELL_CYCLE_MITOTIC	REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	REACTOME_CELLULAR_SENESCENCE	REACTOME_INTERFERON_SIGNALING	REACTOME_MITOTIC_PROMETAPHASE	REACTOME_RRNA_PROCESSING	REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	REACTOME_CELL_CYCLE	REACTOME_METABOLISM_OF_CARBOHYDRATES
9208	LRRFIP1	LRR binding FLII interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:6702]	REACTOME_SIGNALING_BY_CYTOSOLIC_FGFR1_FUSION_MUTANTS		REACTOME_DISEASE		REACTOME_FGFR1_MUTANT_RECEPTOR_ACTIVATION			REACTOME_SIGNALING_BY_FGFR1_IN_DISEASE			REACTOME_SIGNALING_BY_FGFR_IN_DISEASE									REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS																
7750	ZMYM2	zinc finger MYM-type containing 2 [Source:HGNC Symbol;Acc:HGNC:12989]	REACTOME_SIGNALING_BY_CYTOSOLIC_FGFR1_FUSION_MUTANTS		REACTOME_DISEASE		REACTOME_FGFR1_MUTANT_RECEPTOR_ACTIVATION			REACTOME_SIGNALING_BY_FGFR1_IN_DISEASE			REACTOME_SIGNALING_BY_FGFR_IN_DISEASE									REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS																
5903	RANBP2	RAN binding protein 2 [Source:HGNC Symbol;Acc:HGNC:9848]		REACTOME_RHO_GTPASE_EFFECTORS	REACTOME_DISEASE			REACTOME_SIGNALING_BY_RHO_GTPASES			REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS	REACTOME_TRNA_PROCESSING_IN_THE_NUCLEUS		REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI	REACTOME_GLYCOLYSIS	REACTOME_CELL_CYCLE_CHECKPOINTS	REACTOME_METABOLISM_OF_RNA			REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	REACTOME_GLUCOSE_METABOLISM		REACTOME_MITOTIC_SPINDLE_CHECKPOINT	REACTOME_TRNA_PROCESSING	REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	REACTOME_RHO_GTPASES_ACTIVATE_FORMINS	REACTOME_INFLUENZA_INFECTION		REACTOME_CELL_CYCLE_MITOTIC	REACTOME_SEPARATION_OF_SISTER_CHROMATIDS		REACTOME_INTERFERON_SIGNALING	REACTOME_MITOTIC_PROMETAPHASE		REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	REACTOME_CELL_CYCLE	REACTOME_METABOLISM_OF_CARBOHYDRATES
23191	CYFIP1	cytoplasmic FMR1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:13759]		REACTOME_RHO_GTPASE_EFFECTORS	REACTOME_DISEASE			REACTOME_SIGNALING_BY_RHO_GTPASES																														
55920	RCC2	regulator of chromosome condensation 2 [Source:HGNC Symbol;Acc:HGNC:30297]		REACTOME_RHO_GTPASE_EFFECTORS				REACTOME_SIGNALING_BY_RHO_GTPASES								REACTOME_CELL_CYCLE_CHECKPOINTS							REACTOME_MITOTIC_SPINDLE_CHECKPOINT		REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	REACTOME_RHO_GTPASES_ACTIVATE_FORMINS			REACTOME_CELL_CYCLE_MITOTIC	REACTOME_SEPARATION_OF_SISTER_CHROMATIDS			REACTOME_MITOTIC_PROMETAPHASE		REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE		REACTOME_CELL_CYCLE	
4628	MYH10	myosin heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:7568]		REACTOME_RHO_GTPASE_EFFECTORS				REACTOME_SIGNALING_BY_RHO_GTPASES																														
1017	CDK2	cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771]			REACTOME_DISEASE				REACTOME_REGULATION_OF_TP53_EXPRESSION_AND_DEGRADATION					REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI		REACTOME_CELL_CYCLE_CHECKPOINTS			REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE									REACTOME_REGULATION_OF_TP53_ACTIVITY	REACTOME_CELL_CYCLE_MITOTIC		REACTOME_CELLULAR_SENESCENCE						REACTOME_CELL_CYCLE	
6202	RPS8	ribosomal protein S8 [Source:HGNC Symbol;Acc:HGNC:10441]			REACTOME_DISEASE									REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI			REACTOME_METABOLISM_OF_RNA										REACTOME_INFLUENZA_INFECTION							REACTOME_RRNA_PROCESSING				
27044	SND1	staphylococcal nuclease and tudor domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30646]			REACTOME_DISEASE																	REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS																
7874	USP7	ubiquitin specific peptidase 7 [Source:HGNC Symbol;Acc:HGNC:12630]				REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES			REACTOME_REGULATION_OF_TP53_EXPRESSION_AND_DEGRADATION									REACTOME_PROTEIN_UBIQUITINATION										REACTOME_REGULATION_OF_TP53_ACTIVITY										
7332	UBE2L3	ubiquitin conjugating enzyme E2 L3 [Source:HGNC Symbol;Acc:HGNC:12488]				REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES												REACTOME_PROTEIN_UBIQUITINATION																				
29894	CPSF1	cleavage and polyadenylation specific factor 1 [Source:HGNC Symbol;Acc:HGNC:2324]									REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS	REACTOME_TRNA_PROCESSING_IN_THE_NUCLEUS					REACTOME_METABOLISM_OF_RNA			REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM				REACTOME_TRNA_PROCESSING												REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA		
8091	HMGA2	high mobility group AT-hook 2 [Source:HGNC Symbol;Acc:HGNC:5009]												REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI					REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE												REACTOME_CELLULAR_SENESCENCE							
7167	TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]													REACTOME_GLYCOLYSIS						REACTOME_GLUCOSE_METABOLISM																	REACTOME_METABOLISM_OF_CARBOHYDRATES
2091	FBL	fibrillarin [Source:HGNC Symbol;Acc:HGNC:3599]															REACTOME_METABOLISM_OF_RNA																	REACTOME_RRNA_PROCESSING				
2634	GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]																														REACTOME_INTERFERON_SIGNALING						
1399	CRKL	CRK like proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2363]																																				
23464	GCAT	glycine C-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:4188]																																				
4646	MYO6	myosin VI [Source:HGNC Symbol;Acc:HGNC:7605]																																				
2037	EPB41L2	erythrocyte membrane protein band 4.1 like 2 [Source:HGNC Symbol;Acc:HGNC:3379]																																				
5118	PCOLCE	procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738]																																				
29128	UHRF1	ubiquitin like with PHD and ring finger domains 1 [Source:HGNC Symbol;Acc:HGNC:12556]																																				
10061	ABCF2	ATP binding cassette subfamily F member 2 [Source:HGNC Symbol;Acc:HGNC:71]																																				
1939	EIF2D	eukaryotic translation initiation factor 2D [Source:HGNC Symbol;Acc:HGNC:6583]																																				
2314	FLII	FLII actin remodeling protein [Source:HGNC Symbol;Acc:HGNC:3750]																																				
27143	PALD1	phosphatase domain containing paladin 1 [Source:HGNC Symbol;Acc:HGNC:23530]																																				
445815	PALM2AKAP2	PALM2 and AKAP2 fusion [Source:HGNC Symbol;Acc:HGNC:33529]																																				
4643	MYO1E	myosin IE [Source:HGNC Symbol;Acc:HGNC:7599]																																				
5074	PAWR	pro-apoptotic WT1 regulator [Source:HGNC Symbol;Acc:HGNC:8614]																																				
51574	LARP7	La ribonucleoprotein 7, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:24912]																																				
