
Entrez Gene Id	Gene Symbol	Gene Description	MODULE_3	MODULE_151	MODULE_83	MODULE_114	MODULE_32	MODULE_18	MODULE_419	MODULE_244	MODULE_8	MODULE_17	MODULE_98	MODULE_29	MODULE_321	MODULE_524	MODULE_331	MODULE_198	MODULE_133	MODULE_110	MODULE_35	MODULE_252	MODULE_352	MODULE_543	MODULE_126	MODULE_306	MODULE_159	MODULE_15	MODULE_97	MODULE_43	MODULE_182	MODULE_16	MODULE_61	MODULE_277	MODULE_160	MODULE_164	MODULE_324	MODULE_179	MODULE_183	MODULE_438	MODULE_81	MODULE_54	MODULE_532	MODULE_93	MODULE_202	MODULE_303	MODULE_52	MODULE_459	MODULE_5	MODULE_378	MODULE_229	MODULE_317	MODULE_105	MODULE_255	MODULE_299	MODULE_212	MODULE_286	MODULE_136	MODULE_158	MODULE_125	MODULE_1	MODULE_69	MODULE_2	MODULE_57	MODULE_6	MODULE_322	MODULE_37	MODULE_358	MODULE_62	MODULE_124	MODULE_84	MODULE_261	MODULE_239	MODULE_397	MODULE_9	MODULE_38	MODULE_205	MODULE_72	MODULE_206	MODULE_13	MODULE_12	MODULE_45
7411	VBP1	VHL binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12662]	MODULE_3	MODULE_151		MODULE_114		MODULE_18			MODULE_8	MODULE_17																MODULE_15				MODULE_16																							MODULE_299																											
2316	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]	MODULE_3					MODULE_18	MODULE_419							MODULE_524									MODULE_126			MODULE_15				MODULE_16													MODULE_202		MODULE_52		MODULE_5												MODULE_1		MODULE_2		MODULE_6											MODULE_38		MODULE_72				MODULE_45
1017	CDK2	cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771]	MODULE_3					MODULE_18		MODULE_244	MODULE_8	MODULE_17	MODULE_98					MODULE_198										MODULE_15				MODULE_16														MODULE_303	MODULE_52												MODULE_158	MODULE_125				MODULE_57						MODULE_124						MODULE_38						
55699	IARS2	isoleucyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:29685]	MODULE_3					MODULE_18			MODULE_8	MODULE_17													MODULE_126																																																									
55651	NHP2	NHP2 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:14377]	MODULE_3					MODULE_18			MODULE_8	MODULE_17																				MODULE_16																																																		
87	ACTN1	actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]	MODULE_3					MODULE_18			MODULE_8																					MODULE_16															MODULE_52		MODULE_5												MODULE_1		MODULE_2		MODULE_6						MODULE_84				MODULE_9							MODULE_45
10552	ARPC1A	actin related protein 2/3 complex subunit 1A [Source:HGNC Symbol;Acc:HGNC:703]	MODULE_3					MODULE_18			MODULE_8																																										MODULE_105																													
301	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	MODULE_3					MODULE_18				MODULE_17												MODULE_543				MODULE_15				MODULE_16				MODULE_164	MODULE_324	MODULE_179					MODULE_532				MODULE_52	MODULE_459	MODULE_5	MODULE_378		MODULE_317	MODULE_105	MODULE_255							MODULE_1		MODULE_2		MODULE_6						MODULE_84					MODULE_38					MODULE_12	MODULE_45
302	ANXA2	annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]	MODULE_3					MODULE_18																MODULE_543												MODULE_164	MODULE_324										MODULE_52		MODULE_5																												MODULE_205					
1653	DDX1	DEAD-box helicase 1 [Source:HGNC Symbol;Acc:HGNC:2734]	MODULE_3							MODULE_244		MODULE_17																											MODULE_183												MODULE_229																											MODULE_72				
10989	IMMT	inner membrane mitochondrial protein [Source:HGNC Symbol;Acc:HGNC:6047]	MODULE_3								MODULE_8	MODULE_17																										MODULE_179																				MODULE_136				MODULE_69					MODULE_37											MODULE_72				
4174	MCM5	minichromosome maintenance complex component 5 [Source:HGNC Symbol;Acc:HGNC:6948]	MODULE_3																													MODULE_16										MODULE_54																						MODULE_57																		
1213	CLTC	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]	MODULE_3																																																																															
23191	CYFIP1	cytoplasmic FMR1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:13759]	MODULE_3																																																																															
6224	RPS20	ribosomal protein S20 [Source:HGNC Symbol;Acc:HGNC:10405]		MODULE_151	MODULE_83	MODULE_114	MODULE_32							MODULE_29																																																																				
6228	RPS23	ribosomal protein S23 [Source:HGNC Symbol;Acc:HGNC:10410]		MODULE_151	MODULE_83	MODULE_114	MODULE_32							MODULE_29																																																																				
1975	EIF4B	eukaryotic translation initiation factor 4B [Source:HGNC Symbol;Acc:HGNC:3285]		MODULE_151	MODULE_83	MODULE_114	MODULE_32										MODULE_331										MODULE_159														MODULE_81																																									
6135	RPL11	ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:10301]		MODULE_151	MODULE_83	MODULE_114	MODULE_32																																																																											
10694	CCT8	chaperonin containing TCP1 subunit 8 [Source:HGNC Symbol;Acc:HGNC:1623]		MODULE_151	MODULE_83	MODULE_114				MODULE_244																																													MODULE_299																											
6227	RPS21	ribosomal protein S21 [Source:HGNC Symbol;Acc:HGNC:10409]		MODULE_151	MODULE_83	MODULE_114								MODULE_29																																																																				
