
Entrez Gene Id	Gene Symbol	Gene Description	GO_RNA_BINDING	GO_CYTOSKELETAL_PROTEIN_BINDING	GO_RIBONUCLEOTIDE_BINDING	GO_TRNA_BINDING	GO_STRUCTURAL_MOLECULE_ACTIVITY	GO_LIGASE_ACTIVITY_FORMING_CARBON_OXYGEN_BONDS	GO_ACTIN_BINDING	GO_ADENYL_NUCLEOTIDE_BINDING	GO_PROTEIN_CONTAINING_COMPLEX_BINDING	GO_LIGASE_ACTIVITY	GO_CADHERIN_BINDING	GO_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING	GO_TRANSLATION_ELONGATION_FACTOR_ACTIVITY	GO_PROTEIN_DOMAIN_SPECIFIC_BINDING	GO_TRANSLATION_REGULATOR_ACTIVITY_NUCLEIC_ACID_BINDING	GO_KINASE_BINDING	GO_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA	GO_SPECTRIN_BINDING	GO_MOTOR_ACTIVITY	GO_CELL_ADHESION_MOLECULE_BINDING	GO_TRANSLATION_REGULATOR_ACTIVITY	GO_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES	GO_PHOSPHOTRANSFERASE_ACTIVITY_PHOSPHATE_GROUP_AS_ACCEPTOR	GO_CATALYTIC_ACTIVITY_ACTING_ON_RNA	GO_ACTIN_FILAMENT_BINDING	GO_KINASE_ACTIVITY	GO_FLAVIN_ADENINE_DINUCLEOTIDE_BINDING	GO_SINGLE_STRANDED_RNA_BINDING	GO_TRANSFERASE_ACTIVITY_TRANSFERRING_PHOSPHORUS_CONTAINING_GROUPS	GO_SIGNALING_RECEPTOR_BINDING	GO_MRNA_BINDING	GO_GTPASE_REGULATOR_ACTIVITY	GO_UBIQUITIN_LIKE_PROTEIN_LIGASE_BINDING	GO_PRIMARY_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H	GO_UNFOLDED_PROTEIN_BINDING	GO_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY	GO_ANTIGEN_BINDING
5339	PLEC	plectin [Source:HGNC Symbol;Acc:HGNC:9069]	GO_RNA_BINDING	GO_CYTOSKELETAL_PROTEIN_BINDING			GO_STRUCTURAL_MOLECULE_ACTIVITY		GO_ACTIN_BINDING				GO_CADHERIN_BINDING									GO_CELL_ADHESION_MOLECULE_BINDING																		
2317	FLNB	filamin B [Source:HGNC Symbol;Acc:HGNC:3755]	GO_RNA_BINDING	GO_CYTOSKELETAL_PROTEIN_BINDING					GO_ACTIN_BINDING				GO_CADHERIN_BINDING									GO_CELL_ADHESION_MOLECULE_BINDING																		
833	CARS1	cysteinyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:1493]	GO_RNA_BINDING		GO_RIBONUCLEOTIDE_BINDING	GO_TRNA_BINDING		GO_LIGASE_ACTIVITY_FORMING_CARBON_OXYGEN_BONDS		GO_ADENYL_NUCLEOTIDE_BINDING		GO_LIGASE_ACTIVITY							GO_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA							GO_CATALYTIC_ACTIVITY_ACTING_ON_RNA														
4141	MARS1	methionyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:6898]	GO_RNA_BINDING		GO_RIBONUCLEOTIDE_BINDING	GO_TRNA_BINDING		GO_LIGASE_ACTIVITY_FORMING_CARBON_OXYGEN_BONDS		GO_ADENYL_NUCLEOTIDE_BINDING		GO_LIGASE_ACTIVITY							GO_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA							GO_CATALYTIC_ACTIVITY_ACTING_ON_RNA														
1915	EEF1A1	eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:3189]	GO_RNA_BINDING		GO_RIBONUCLEOTIDE_BINDING	GO_TRNA_BINDING								GO_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING	GO_TRANSLATION_ELONGATION_FACTOR_ACTIVITY		GO_TRANSLATION_REGULATOR_ACTIVITY_NUCLEIC_ACID_BINDING	GO_KINASE_BINDING					GO_TRANSLATION_REGULATOR_ACTIVITY	GO_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES																
11325	DDX42	DEAD-box helicase 42 [Source:HGNC Symbol;Acc:HGNC:18676]	GO_RNA_BINDING		GO_RIBONUCLEOTIDE_BINDING					GO_ADENYL_NUCLEOTIDE_BINDING														GO_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES		GO_CATALYTIC_ACTIVITY_ACTING_ON_RNA														
8899	PRPF4B	pre-mRNA processing factor 4B [Source:HGNC Symbol;Acc:HGNC:17346]	GO_RNA_BINDING		GO_RIBONUCLEOTIDE_BINDING					GO_ADENYL_NUCLEOTIDE_BINDING																		GO_KINASE_ACTIVITY			GO_TRANSFERASE_ACTIVITY_TRANSFERRING_PHOSPHORUS_CONTAINING_GROUPS									
7284	TUFM	Tu translation elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12420]	GO_RNA_BINDING		GO_RIBONUCLEOTIDE_BINDING									GO_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING	GO_TRANSLATION_ELONGATION_FACTOR_ACTIVITY		GO_TRANSLATION_REGULATOR_ACTIVITY_NUCLEIC_ACID_BINDING						GO_TRANSLATION_REGULATOR_ACTIVITY	GO_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES																
6741	SSB	small RNA binding exonuclease protection factor La [Source:HGNC Symbol;Acc:HGNC:11316]	GO_RNA_BINDING			GO_TRNA_BINDING																								GO_SINGLE_STRANDED_RNA_BINDING			GO_MRNA_BINDING							
