
Entrez Gene Id	Gene Symbol	Gene Description	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_FOCAL_ADHESION	KEGG_GLYCOLYSIS_GLUCONEOGENESIS	KEGG_PEROXISOME	KEGG_RIBOSOME	KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	KEGG_LYSOSOME	KEGG_TIGHT_JUNCTION	KEGG_HUNTINGTONS_DISEASE	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	KEGG_MAPK_SIGNALING_PATHWAY
4141	MARS1	methionyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:6898]	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS										
4677	NARS1	asparaginyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:7643]	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS										
833	CARS1	cysteinyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:1493]	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS										
1399	CRKL	CRK like proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2363]		KEGG_FOCAL_ADHESION				KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS				KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	KEGG_MAPK_SIGNALING_PATHWAY
2317	FLNB	filamin B [Source:HGNC Symbol;Acc:HGNC:3755]		KEGG_FOCAL_ADHESION									KEGG_MAPK_SIGNALING_PATHWAY
824	CAPN2	calpain 2 [Source:HGNC Symbol;Acc:HGNC:1479]		KEGG_FOCAL_ADHESION									
5223	PGAM1	phosphoglycerate mutase 1 [Source:HGNC Symbol;Acc:HGNC:8888]			KEGG_GLYCOLYSIS_GLUCONEOGENESIS								
5230	PGK1	phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]			KEGG_GLYCOLYSIS_GLUCONEOGENESIS								
51	ACOX1	acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]				KEGG_PEROXISOME							
10654	PMVK	phosphomevalonate kinase [Source:HGNC Symbol;Acc:HGNC:9141]				KEGG_PEROXISOME							
6124	RPL4	ribosomal protein L4 [Source:HGNC Symbol;Acc:HGNC:10353]					KEGG_RIBOSOME						
6133	RPL9	ribosomal protein L9 [Source:HGNC Symbol;Acc:HGNC:10369]					KEGG_RIBOSOME						
1073	CFL2	cofilin 2 [Source:HGNC Symbol;Acc:HGNC:1875]						KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS				KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	
1213	CLTC	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]							KEGG_LYSOSOME		KEGG_HUNTINGTONS_DISEASE		
9114	ATP6V0D1	ATPase H+ transporting V0 subunit d1 [Source:HGNC Symbol;Acc:HGNC:13724]							KEGG_LYSOSOME				
5518	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha [Source:HGNC Symbol;Acc:HGNC:9302]								KEGG_TIGHT_JUNCTION			
2037	EPB41L2	erythrocyte membrane protein band 4.1 like 2 [Source:HGNC Symbol;Acc:HGNC:3379]								KEGG_TIGHT_JUNCTION			
7417	VDAC2	voltage dependent anion channel 2 [Source:HGNC Symbol;Acc:HGNC:12672]									KEGG_HUNTINGTONS_DISEASE		
6741	SSB	small RNA binding exonuclease protection factor La [Source:HGNC Symbol;Acc:HGNC:11316]											
10273	STUB1	STIP1 homology and U-box containing protein 1 [Source:HGNC Symbol;Acc:HGNC:11427]											
11325	DDX42	DEAD-box helicase 42 [Source:HGNC Symbol;Acc:HGNC:18676]											
129607	CMPK2	cytidine/uridine monophosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:27015]											
6892	TAPBP	TAP binding protein [Source:HGNC Symbol;Acc:HGNC:11566]											
