
Entrez Gene Id	Gene Symbol	Gene Description	REACTOME_HIV_LIFE_CYCLE	REACTOME_HIV_INFECTION	REACTOME_INFECTIOUS_DISEASE	REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME	REACTOME_RNA_POLYMERASE_II_TRANSCRIBES_SNRNA_GENES	REACTOME_DISEASE	REACTOME_METABOLISM_OF_RNA	REACTOME_INFLUENZA_INFECTION	REACTOME_MITOTIC_PROMETAPHASE	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	REACTOME_M_PHASE	REACTOME_CELL_CYCLE_MITOTIC	REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI
6829	SUPT5H	SPT5 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11469]	REACTOME_HIV_LIFE_CYCLE	REACTOME_HIV_INFECTION	REACTOME_INFECTIOUS_DISEASE	REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME	REACTOME_RNA_POLYMERASE_II_TRANSCRIBES_SNRNA_GENES	REACTOME_DISEASE	REACTOME_METABOLISM_OF_RNA			REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53			
6878	TAF6	TATA-box binding protein associated factor 6 [Source:HGNC Symbol;Acc:HGNC:11540]	REACTOME_HIV_LIFE_CYCLE	REACTOME_HIV_INFECTION	REACTOME_INFECTIOUS_DISEASE	REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME	REACTOME_RNA_POLYMERASE_II_TRANSCRIBES_SNRNA_GENES	REACTOME_DISEASE				REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53			
6396	SEC13	SEC13 homolog, nuclear pore and COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10697]	REACTOME_HIV_LIFE_CYCLE	REACTOME_HIV_INFECTION	REACTOME_INFECTIOUS_DISEASE			REACTOME_DISEASE	REACTOME_METABOLISM_OF_RNA	REACTOME_INFLUENZA_INFECTION	REACTOME_MITOTIC_PROMETAPHASE		REACTOME_M_PHASE	REACTOME_CELL_CYCLE_MITOTIC	REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI
51065	RPS27L	ribosomal protein S27 like [Source:HGNC Symbol;Acc:HGNC:18476]			REACTOME_INFECTIOUS_DISEASE			REACTOME_DISEASE	REACTOME_METABOLISM_OF_RNA	REACTOME_INFLUENZA_INFECTION					REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI
23397	NCAPH	non-SMC condensin I complex subunit H [Source:HGNC Symbol;Acc:HGNC:1112]									REACTOME_MITOTIC_PROMETAPHASE		REACTOME_M_PHASE	REACTOME_CELL_CYCLE_MITOTIC	
301	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]													
5118	PCOLCE	procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738]													
7358	UGDH	UDP-glucose 6-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12525]													
9989	PPP4R1	protein phosphatase 4 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:9320]													
