
Entrez Gene Id	Gene Symbol	Gene Description	GO_ENZYME_REGULATOR_ACTIVITY	GO_PEPTIDASE_ACTIVATOR_ACTIVITY	GO_ENZYME_ACTIVATOR_ACTIVITY	GO_STRUCTURAL_MOLECULE_ACTIVITY	GO_PEPTIDASE_REGULATOR_ACTIVITY	GO_PROTEIN_HETERODIMERIZATION_ACTIVITY
51065	RPS27L	ribosomal protein S27 like [Source:HGNC Symbol;Acc:HGNC:18476]	GO_ENZYME_REGULATOR_ACTIVITY	GO_PEPTIDASE_ACTIVATOR_ACTIVITY	GO_ENZYME_ACTIVATOR_ACTIVITY	GO_STRUCTURAL_MOLECULE_ACTIVITY	GO_PEPTIDASE_REGULATOR_ACTIVITY	
5118	PCOLCE	procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738]	GO_ENZYME_REGULATOR_ACTIVITY	GO_PEPTIDASE_ACTIVATOR_ACTIVITY	GO_ENZYME_ACTIVATOR_ACTIVITY	GO_STRUCTURAL_MOLECULE_ACTIVITY	GO_PEPTIDASE_REGULATOR_ACTIVITY	
23397	NCAPH	non-SMC condensin I complex subunit H [Source:HGNC Symbol;Acc:HGNC:1112]	GO_ENZYME_REGULATOR_ACTIVITY		GO_ENZYME_ACTIVATOR_ACTIVITY			
301	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	GO_ENZYME_REGULATOR_ACTIVITY					
9989	PPP4R1	protein phosphatase 4 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:9320]	GO_ENZYME_REGULATOR_ACTIVITY					
6396	SEC13	SEC13 homolog, nuclear pore and COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10697]				GO_STRUCTURAL_MOLECULE_ACTIVITY		
6829	SUPT5H	SPT5 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11469]						GO_PROTEIN_HETERODIMERIZATION_ACTIVITY
6878	TAF6	TATA-box binding protein associated factor 6 [Source:HGNC Symbol;Acc:HGNC:11540]						GO_PROTEIN_HETERODIMERIZATION_ACTIVITY
7358	UGDH	UDP-glucose 6-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12525]						
