
Entrez Gene Id	Gene Symbol	Gene Description	KEGG_TIGHT_JUNCTION	KEGG_GLYCOLYSIS_GLUCONEOGENESIS	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	KEGG_THYROID_CANCER	KEGG_OOCYTE_MEIOSIS	KEGG_PATHWAYS_IN_CANCER	KEGG_FOCAL_ADHESION	KEGG_VIRAL_MYOCARDITIS	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	KEGG_RIBOSOME	KEGG_DILATED_CARDIOMYOPATHY	KEGG_MAPK_SIGNALING_PATHWAY	KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	KEGG_INSULIN_SIGNALING_PATHWAY
4627	MYH9	myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579]	KEGG_TIGHT_JUNCTION		KEGG_REGULATION_OF_ACTIN_CYTOSKELETON					KEGG_VIRAL_MYOCARDITIS						
4628	MYH10	myosin heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:7568]	KEGG_TIGHT_JUNCTION		KEGG_REGULATION_OF_ACTIN_CYTOSKELETON					KEGG_VIRAL_MYOCARDITIS						
5518	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha [Source:HGNC Symbol;Acc:HGNC:9302]	KEGG_TIGHT_JUNCTION				KEGG_OOCYTE_MEIOSIS									
2037	EPB41L2	erythrocyte membrane protein band 4.1 like 2 [Source:HGNC Symbol;Acc:HGNC:3379]	KEGG_TIGHT_JUNCTION													
2597	GAPDH	glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]		KEGG_GLYCOLYSIS_GLUCONEOGENESIS												
7167	TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]		KEGG_GLYCOLYSIS_GLUCONEOGENESIS												
3939	LDHA	lactate dehydrogenase A [Source:HGNC Symbol;Acc:HGNC:6535]		KEGG_GLYCOLYSIS_GLUCONEOGENESIS												
1399	CRKL	CRK like proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2363]			KEGG_REGULATION_OF_ACTIN_CYTOSKELETON			KEGG_PATHWAYS_IN_CANCER	KEGG_FOCAL_ADHESION					KEGG_MAPK_SIGNALING_PATHWAY		KEGG_INSULIN_SIGNALING_PATHWAY
23191	CYFIP1	cytoplasmic FMR1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:13759]			KEGG_REGULATION_OF_ACTIN_CYTOSKELETON											
