Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
REACTOME_INFECTIOUS_DISEASE	866	Infectious disease	6	0.0069	2.51E-5	3.9E-2
REACTOME_METABOLISM_OF_RNA	672	Metabolism of RNA	5	0.0074	9.33E-5	6.99E-2
REACTOME_HIV_LIFE_CYCLE	149	HIV Life Cycle	3	0.0201	1.54E-4	6.99E-2
REACTOME_INFLUENZA_INFECTION	157	Influenza Infection	3	0.0191	1.8E-4	6.99E-2
REACTOME_HIV_INFECTION	231	HIV Infection	3	0.0130	5.57E-4	1.52E-1
REACTOME_DISEASE	1580	Disease	6	0.0038	6.64E-4	1.52E-1
REACTOME_AMINO_ACIDS_REGULATE_MTORC1	55	Amino acids regulate mTORC1	2	0.0364	6.83E-4	1.52E-1
REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME	70	Transcription of the HIV genome	2	0.0286	1.1E-3	2.14E-1
REACTOME_RNA_POLYMERASE_II_TRANSCRIBES_SNRNA_GENES	81	RNA polymerase II transcribes snRNA genes	2	0.0247	1.47E-3	2.35E-1
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	82	Antiviral mechanism by IFN-stimulated genes	2	0.0244	1.51E-3	2.35E-1
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	362	Transcriptional Regulation by TP53	3	0.0083	2.03E-3	2.86E-1
REACTOME_SELENOAMINO_ACID_METABOLISM	118	Selenoamino acid metabolism	2	0.0169	3.09E-3	3.78E-1
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	884	Cytokine Signaling in Immune system	4	0.0045	3.16E-3	3.78E-1
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	126	MHC class II antigen presentation	2	0.0159	3.51E-3	3.9E-1
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	580	Nervous system development	3	0.0052	7.55E-3	7.32E-1
REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI	613	Cellular responses to external stimuli	3	0.0049	8.78E-3	7.32E-1
REACTOME_INTERFERON_SIGNALING	203	Interferon Signaling	2	0.0099	8.85E-3	7.32E-1
REACTOME_MITOTIC_PROMETAPHASE	203	Mitotic Prometaphase	2	0.0099	8.85E-3	7.32E-1
REACTOME_RRNA_PROCESSING	205	rRNA processing	2	0.0098	9.02E-3	7.32E-1
REACTOME_MEMBRANE_TRAFFICKING	629	Membrane Trafficking	3	0.0048	9.42E-3	7.32E-1


