Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
GSE36009_WT_VS_NLRP10_KO_DC_LPS_STIM_UP	199	Genes up-regulated in dendritic cells in response to LPS: wildtype versus NLRP10 [GeneID=338322] knockout.	9	0.0452	6.24E-10	3.04E-6
GSE14415_INDUCED_TREG_VS_FAILED_INDUCED_TREG_UP	185	Genes up-regulated in T reg: induced versus failed induced.	8	0.0432	8.32E-9	1.06E-5
GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN	200	Genes down-regulated in comparison of naïve CD8 T cells versus effector CD8 T cells.	8	0.0400	1.53E-8	1.06E-5
GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IL12_CD8_TCELL_DN	200	Genes down-regulated in comparison of CD8 T cells at 0 h versus those at 48 h after stimulation with IL12.	8	0.0400	1.53E-8	1.06E-5
GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	200	Genes down-regulated in polymorphonuclear leukocytes (9h): control versus infection by A. phagocytophilum.	8	0.0400	1.53E-8	1.06E-5
GSE29618_PDC_VS_MDC_DAY7_FLU_VACCINE_DN	200	Genes down-regulated in comparison of plasmacytoid dendritic cells (DC) from influenza vaccinee at day 7 post-vaccination versus myeloid DCs at day 7 post-vaccination.	8	0.0400	1.53E-8	1.06E-5
GSE43955_TGFB_IL6_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_52H_DN	200	Genes down-regulated in CD4 [GeneID=920] T helper cells Th17 (52h): TGFB1 and IL6 [GeneID=7040;3569] versus TGFB1, IL6 [GeneID=7040;3569] and IL-23.	8	0.0400	1.53E-8	1.06E-5
GSE25088_WT_VS_STAT6_KO_MACROPHAGE_IL4_STIM_DN	198	Genes down-regulated in bone marrow-derived macrophages treated with IL4 [GeneID=3565]: wildtype versus STAT6 [GeneID=6778] knockout.	7	0.0354	2.93E-7	7.63E-5
GSE26156_DOUBLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_DN	199	Genes down-regulated in thymocytes: double positive versus CD4 [GeneID=920] single positive.	7	0.0352	3.03E-7	7.63E-5
GSE40273_XBP1_KO_VS_WT_TREG_DN	199	Genes down-regulated in T reg: XBP1 [GeneID=7494] knockout versus wildtype.	7	0.0352	3.03E-7	7.63E-5
GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY40_DN	200	Genes down-regulated in marginal zone B cells versus day 40 memory B cells.	7	0.0350	3.13E-7	7.63E-5
GSE22935_WT_VS_MYD88_KO_MACROPHAGE_24H_MBOVIS_BCG_STIM_DN	200	Genes down-regulated in macrophages 24h after M. bovis BCG infection: wildtype versus MYD88 [GeneID=4615] knockout.	7	0.0350	3.13E-7	7.63E-5
GSE24726_WT_VS_E2_2_KO_PDC_UP	200	Genes up-regulated in plasmacytoid dendritic cells: wildtype versus TCF4 [GeneID=6925] knockout.	7	0.0350	3.13E-7	7.63E-5
GSE28237_EARLY_VS_LATE_GC_BCELL_DN	200	Genes down-regulated in comparison of early germinal center (GC) B cells versus late GC B cells.	7	0.0350	3.13E-7	7.63E-5
GSE29618_BCELL_VS_MDC_DN	200	Genes down-regulated in comparison of B cells versus myeloid dendritic cells (mDC).	7	0.0350	3.13E-7	7.63E-5
GSE3039_NKT_CELL_VS_ALPHABETA_CD8_TCELL_UP	200	Genes up-regulated in NKT cell versus CD8A CD8B [GeneID=925;926] T cells.	7	0.0350	3.13E-7	7.63E-5
