Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
MODULE_419	34	Genes in the cancer module 419.	4	0.1176	4.26E-7	9.99E-5
MODULE_3	384	Genes in the cancer module 3.	8	0.0208	4.64E-7	9.99E-5
MODULE_321	112	Genes in the cancer module 321.	5	0.0446	1.88E-6	2.7E-4
MODULE_352	17	Nuclear pore complex.	3	0.1765	3.71E-6	4E-4
MODULE_98	393	Genes in the cancer module 98.	7	0.0178	7.05E-6	6.07E-4
MODULE_18	450	Genes in the cancer module 18.	7	0.0156	1.69E-5	1.13E-3
MODULE_198	303	Genes in the cancer module 198.	6	0.0198	1.83E-5	1.13E-3
MODULE_524	30	Actin cytoskeleton binding.	3	0.1000	2.18E-5	1.17E-3
MODULE_252	237	TFs and nuclear.	5	0.0211	7.03E-5	3.37E-3
MODULE_8	421	Genes in the cancer module 8.	6	0.0143	1.13E-4	4.87E-3
MODULE_126	183	Lymphoma and immune response expression clusters.	4	0.0219	3.4E-4	1.16E-2
MODULE_244	187	Response to DNA damage.	4	0.0214	3.69E-4	1.16E-2
MODULE_110	16	Genes in the cancer module 110.	2	0.1250	3.76E-4	1.16E-2
MODULE_35	16	Genes in the cancer module 35.	2	0.1250	3.76E-4	1.16E-2
MODULE_543	17	Annexin, MHCII, and lectins.	2	0.1176	4.25E-4	1.22E-2
MODULE_17	364	Genes in the cancer module 17.	5	0.0137	5.11E-4	1.38E-2
MODULE_32	241	Genes in the cancer module 32.	4	0.0166	9.53E-4	2.29E-2
MODULE_306	26	Glycolysis and TCA cycle.	2	0.0769	1.01E-3	2.29E-2
MODULE_52	430	Cell line expressed genes.	5	0.0116	1.08E-3	2.29E-2
MODULE_202	28	Genes in the cancer module 202.	2	0.0714	1.17E-3	2.29E-2
MODULE_29	28	Genes in the cancer module 29.	2	0.0714	1.17E-3	2.29E-2
MODULE_303	28	Genes in the cancer module 303.	2	0.0714	1.17E-3	2.29E-2
MODULE_136	491	Genes in the cancer module 136.	5	0.0102	1.93E-3	3.62E-2
MODULE_16	508	Genes in the cancer module 15.	5	0.0098	2.24E-3	4.02E-2
MODULE_151	318	Genes in the cancer module 151.	4	0.0126	2.62E-3	4.38E-2
MODULE_83	320	Genes in the cancer module 83.	4	0.0125	2.68E-3	4.38E-2
MODULE_158	43	DNA replication.	2	0.0465	2.74E-3	4.38E-2
MODULE_125	44	Genes in the cancer module 125.	2	0.0455	2.87E-3	4.42E-2
MODULE_114	338	Protein biosynthesis and ribosomes.	4	0.0118	3.26E-3	4.84E-2
MODULE_61	50	Genes in the cancer module 61.	2	0.0400	3.69E-3	5.3E-2
MODULE_15	357	Genes in the cancer module 14.	4	0.0112	3.96E-3	5.5E-2
MODULE_1	368	Ovary genes.	4	0.0109	4.41E-3	5.81E-2
MODULE_277	55	Genes in the cancer module 277.	2	0.0364	4.45E-3	5.81E-2
MODULE_2	384	DRG (dorsal root ganglia) genes.	4	0.0104	5.12E-3	6.49E-2
MODULE_164	61	Enzyme inhibitors (esp serine proteases).	2	0.0328	5.44E-3	6.7E-2
MODULE_5	434	Lung genes.	4	0.0092	7.82E-3	9.37E-2
MODULE_331	75	Genes in the cancer module 331.	2	0.0267	8.12E-3	9.46E-2
MODULE_38	463	Placenta genes.	4	0.0086	9.76E-3	1.11E-1
MODULE_179	468	Blood cells and cancer expression cancer.	4	0.0085	1.01E-2	1.11E-1
MODULE_37	471	Genes in the cancer module 37.	4	0.0085	1.03E-2	1.11E-1
MODULE_97	98	Genes in the cancer module 97.	2	0.0204	1.35E-2	1.42E-1
MODULE_182	100	Genes in the cancer module 182.	2	0.0200	1.41E-2	1.44E-1
MODULE_69	526	Genes in the cancer module 69.	4	0.0076	1.5E-2	1.5E-1
MODULE_324	133	Metal / Ca ion binding.	2	0.0150	2.4E-2	2.35E-1
MODULE_12	360	Spinal cord (neuro-development) genes.	3	0.0083	2.72E-2	2.6E-1
MODULE_206	153	Genes in the cancer module 206.	2	0.0131	3.11E-2	2.91E-1
MODULE_532	407	Blood cells and cancer expression clusters.	3	0.0074	3.71E-2	3.4E-1
MODULE_6	413	Trachea genes.	3	0.0073	3.85E-2	3.45E-1
MODULE_93	182	Oxidoreductases.	2	0.0110	4.26E-2	3.68E-1
MODULE_459	431	Genes in the cancer module 459.	3	0.0070	4.27E-2	3.68E-1
MODULE_378	435	Genes in the cancer module 378.	3	0.0069	4.37E-2	3.7E-1
MODULE_317	440	Genes in the cancer module 317.	3	0.0068	4.5E-2	3.73E-1
MODULE_255	450	Genes in the cancer module 255.	3	0.0067	4.75E-2	3.86E-1
MODULE_84	546	Immune (humoral) and inflammatory response.	3	0.0055	7.54E-2	6.02E-1
MODULE_45	581	Whole blood genes.	3	0.0052	8.7E-2	6.82E-1
MODULE_205	305	Genes in the cancer module 205.	2	0.0066	1.04E-1	8.03E-1
MODULE_72	308	Testis genes.	2	0.0065	1.06E-1	8.03E-1
MODULE_212	329	Catalytic activities / metabolism.	2	0.0061	1.18E-1	8.79E-1
MODULE_220	333	Developmental processes.	2	0.0060	1.21E-1	8.82E-1


