Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
KEGG_RIBOSOME	88	Ribosome	7	0.0795	8.83E-8	1.64E-5
KEGG_OOCYTE_MEIOSIS	113	Oocyte meiosis	7	0.0619	4.93E-7	4.58E-5
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	41	Aminoacyl-tRNA biosynthesis	5	0.1220	7.63E-7	4.73E-5
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	62	Glycolysis / Gluconeogenesis	5	0.0806	6.14E-6	2.86E-4
KEGG_CITRATE_CYCLE_TCA_CYCLE	31	Citrate cycle (TCA cycle)	4	0.1290	8.19E-6	3.05E-4
KEGG_CELL_CYCLE	125	Cell cycle	6	0.0480	1.44E-5	4.47E-4
KEGG_PYRUVATE_METABOLISM	40	Pyruvate metabolism	4	0.1000	2.31E-5	6.14E-4
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	126	Neurotrophin signaling pathway	5	0.0397	1.87E-4	4.35E-3
KEGG_TIGHT_JUNCTION	132	Tight junction	5	0.0379	2.32E-4	4.8E-3
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	213	Regulation of actin cytoskeleton	6	0.0282	2.75E-4	5.12E-3
KEGG_PEROXISOME	78	Peroxisome	4	0.0513	3.19E-4	5.39E-3
KEGG_PROPANOATE_METABOLISM	33	Propanoate metabolism	3	0.0909	3.48E-4	5.39E-3
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	11	Valine, leucine and isoleucine biosynthesis	2	0.1818	9.15E-4	1.31E-2
KEGG_ARGININE_AND_PROLINE_METABOLISM	54	Arginine and proline metabolism	3	0.0556	1.48E-3	1.85E-2
KEGG_FOCAL_ADHESION	199	Focal adhesion	5	0.0251	1.49E-3	1.85E-2
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	56	Pathogenic Escherichia coli infection	3	0.0536	1.65E-3	1.92E-2
KEGG_SPLICEOSOME	127	Spliceosome	4	0.0315	1.98E-3	2.16E-2
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	135	Ubiquitin mediated proteolysis	4	0.0296	2.47E-3	2.55E-2
KEGG_VIRAL_MYOCARDITIS	70	Viral myocarditis	3	0.0429	3.12E-3	3.05E-2
KEGG_TGF_BETA_SIGNALING_PATHWAY	86	TGF-beta signaling pathway	3	0.0349	5.56E-3	5.17E-2
KEGG_THYROID_CANCER	29	Thyroid cancer	2	0.0690	6.44E-3	5.7E-2
KEGG_HUNTINGTONS_DISEASE	182	Huntington's disease	4	0.0220	7.1E-3	6E-2
KEGG_BUTANOATE_METABOLISM	34	Butanoate metabolism	2	0.0588	8.77E-3	7.09E-2
KEGG_DNA_REPLICATION	36	DNA replication	2	0.0556	9.8E-3	7.59E-2
KEGG_TRYPTOPHAN_METABOLISM	40	Tryptophan metabolism	2	0.0500	1.2E-2	8.93E-2
KEGG_FATTY_ACID_METABOLISM	42	Fatty acid metabolism	2	0.0476	1.32E-2	9.43E-2
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	44	Valine, leucine and isoleucine degradation	2	0.0455	1.44E-2	9.92E-2
KEGG_PARKINSONS_DISEASE	130	Parkinson's disease	3	0.0231	1.7E-2	1.13E-1
KEGG_GLUTATHIONE_METABOLISM	50	Glutathione metabolism	2	0.0400	1.83E-2	1.18E-1
KEGG_INSULIN_SIGNALING_PATHWAY	137	Insulin signaling pathway	3	0.0219	1.95E-2	1.21E-1
KEGG_MAPK_SIGNALING_PATHWAY	267	MAPK signaling pathway	4	0.0150	2.54E-2	1.53E-1
KEGG_RENAL_CELL_CARCINOMA	70	Renal cell carcinoma	2	0.0286	3.43E-2	1.99E-1
KEGG_CHRONIC_MYELOID_LEUKEMIA	73	Chronic myeloid leukemia	2	0.0274	3.7E-2	2.08E-1
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	74	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	2	0.0270	3.79E-2	2.08E-1
KEGG_ENDOCYTOSIS	181	Endocytosis	3	0.0166	3.98E-2	2.11E-1
KEGG_CARDIAC_MUSCLE_CONTRACTION	79	Cardiac muscle contraction	2	0.0253	4.27E-2	2.21E-1
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	83	Hypertrophic cardiomyopathy (HCM)	2	0.0241	4.67E-2	2.29E-1
KEGG_PATHWAYS_IN_CANCER	325	Pathways in cancer	4	0.0123	4.68E-2	2.29E-1
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	88	Antigen processing and presentation	2	0.0227	5.18E-2	2.47E-1
KEGG_DILATED_CARDIOMYOPATHY	90	Dilated cardiomyopathy	2	0.0222	5.39E-2	2.51E-1
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	96	Fc gamma R-mediated phagocytosis	2	0.0208	6.04E-2	2.74E-1
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	116	Leukocyte transendothelial migration	2	0.0172	8.38E-2	3.71E-1
KEGG_WNT_SIGNALING_PATHWAY	151	Wnt signaling pathway	2	0.0132	1.3E-1	5.62E-1
KEGG_ALZHEIMERS_DISEASE	166	Alzheimer's disease	2	0.0120	1.51E-1	6.39E-1


