Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	41	Aminoacyl-tRNA biosynthesis	4	0.0976	5.03E-6	9.36E-4
KEGG_OOCYTE_MEIOSIS	113	Oocyte meiosis	4	0.0354	2.75E-4	2.56E-2
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	62	Glycolysis / Gluconeogenesis	3	0.0484	6.77E-4	4.12E-2
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	68	Epithelial cell signaling in Helicobacter pylori infection	3	0.0441	8.86E-4	4.12E-2
KEGG_PEROXISOME	78	Peroxisome	3	0.0385	1.32E-3	4.9E-2
KEGG_RIBOSOME	88	Ribosome	3	0.0341	1.86E-3	5.4E-2
KEGG_FOCAL_ADHESION	199	Focal adhesion	4	0.0201	2.26E-3	5.4E-2
KEGG_SELENOAMINO_ACID_METABOLISM	26	Selenoamino acid metabolism	2	0.0769	2.32E-3	5.4E-2
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	213	Regulation of actin cytoskeleton	4	0.0188	2.89E-3	5.97E-2
KEGG_CITRATE_CYCLE_TCA_CYCLE	31	Citrate cycle (TCA cycle)	2	0.0645	3.3E-3	6.13E-2
KEGG_TIGHT_JUNCTION	132	Tight junction	3	0.0227	5.83E-3	9.86E-2
KEGG_ENDOCYTOSIS	181	Endocytosis	3	0.0166	1.37E-2	2.12E-1
KEGG_PPAR_SIGNALING_PATHWAY	69	PPAR signaling pathway	2	0.0290	1.55E-2	2.12E-1
KEGG_LONG_TERM_DEPRESSION	70	Long-term depression	2	0.0286	1.6E-2	2.12E-1
KEGG_TGF_BETA_SIGNALING_PATHWAY	86	TGF-beta signaling pathway	2	0.0233	2.35E-2	2.79E-1
KEGG_ERBB_SIGNALING_PATHWAY	87	ErbB signaling pathway	2	0.0230	2.4E-2	2.79E-1
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	96	Fc gamma R-mediated phagocytosis	2	0.0208	2.88E-2	3.15E-1
KEGG_MAPK_SIGNALING_PATHWAY	267	MAPK signaling pathway	3	0.0112	3.75E-2	3.88E-1
KEGG_LYSOSOME	121	Lysosome	2	0.0165	4.39E-2	4.3E-1
KEGG_CELL_CYCLE	125	Cell cycle	2	0.0160	4.65E-2	4.33E-1
KEGG_INSULIN_SIGNALING_PATHWAY	137	Insulin signaling pathway	2	0.0146	5.48E-2	4.85E-1
KEGG_WNT_SIGNALING_PATHWAY	151	Wnt signaling pathway	2	0.0132	6.5E-2	5.49E-1
KEGG_HUNTINGTONS_DISEASE	182	Huntington's disease	2	0.0110	8.95E-2	7.24E-1


