Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
GO_SUPRAMOLECULAR_COMPLEX	1311	A cellular component that consists of an indeterminate number of proteins or macromolecular complexes, organized into a regular, higher-order structure such as a polymer, sheet, network or a fiber. [GOC:dos]	22	0.0168	6.69E-16	6.7E-13
GO_SUPRAMOLECULAR_POLYMER	996	A polymeric supramolecular structure. [GOC:dos]	19	0.0191	9.37E-15	4.69E-12
GO_ACTIN_CYTOSKELETON	503	The part of the cytoskeleton (the internal framework of a cell) composed of actin and associated proteins. Includes actin cytoskeleton-associated complexes. [GOC:jl, ISBN:0395825172, ISBN:0815316194]	14	0.0278	3.1E-13	1.03E-10
GO_POLYMERIC_CYTOSKELETAL_FIBER	756	A component of the cytoskeleton consisting of a homo or heteropolymeric fiber constructed from an indeterminate number of protein subunits. [GOC:dos]	13	0.0172	8.84E-10	2.21E-7
GO_PERINUCLEAR_REGION_OF_CYTOPLASM	728	Cytoplasm situated near, or occurring around, the nucleus. [GOC:jid]	12	0.0165	6.71E-9	1.3E-6
GO_RIBONUCLEOPROTEIN_COMPLEX	738	A macromolecular complex containing both protein and RNA molecules. [GOC:vesicles]	12	0.0163	7.8E-9	1.3E-6
GO_ANCHORING_JUNCTION	831	A cell junction that mechanically attaches a cell (and its cytoskeleton) to neighboring cells or to the extracellular matrix. [ISBN:0815332181]	12	0.0144	2.88E-8	4.11E-6
GO_CELL_SUBSTRATE_JUNCTION	423	A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]	9	0.0213	7.07E-8	8.85E-6
GO_CELL_CORTEX	305	The region of a cell that lies just beneath the plasma membrane and often, but not always, contains a network of actin filaments and associated proteins. [GOC:mah, ISBN:0815316194]	8	0.0262	8.06E-8	8.97E-6
GO_CONTRACTILE_FIBER	238	Fibers, composed of actin, myosin, and associated proteins, found in cells of smooth or striated muscle. [GOC:go_curators, ISBN:0815316194]	7	0.0294	2.53E-7	2.38E-5
GO_CHROMOSOMAL_REGION	356	Any subdivision of a chromosome along its length. [GOC:dos]	8	0.0225	2.62E-7	2.38E-5
GO_MICROTUBULE_CYTOSKELETON	1256	The part of the cytoskeleton (the internal framework of a cell) composed of microtubules and associated proteins. [GOC:jl, ISBN:0395825172]	13	0.0104	3.38E-7	2.82E-5
GO_NUCLEAR_INCLUSION_BODY	12	An intranuclear focus at which aggregated proteins have been sequestered. [GOC:jl]	3	0.2500	1.21E-6	9.31E-5
GO_BRUSH_BORDER	106	The dense covering of microvilli on the apical surface of a epithelial cells in tissues such as the intestine, kidney, and choroid plexus; the microvilli aid absorption by increasing the surface area of the cell. [GOC:sl, ISBN:0815316194]	5	0.0472	1.43E-6	1.02E-4
GO_NUCLEAR_BODY	808	Extra-nucleolar nuclear domains usually visualized by confocal microscopy and fluorescent antibodies to specific proteins. [GOC:ma, PMID:10330182]	10	0.0124	1.83E-6	1.22E-4
GO_ACTIN_FILAMENT	117	A filamentous structure formed of a two-stranded helical polymer of the protein actin and associated proteins. Actin filaments are a major component of the contractile apparatus of skeletal muscle and the microfilaments of the cytoskeleton of eukaryotic cells. The filaments, comprising polymerized globular actin molecules, appear as flexible structures with a diameter of 5-9 nm. They are organized into a variety of linear bundles, two-dimensional networks, and three dimensional gels. In the cytoskeleton they are most highly concentrated in the cortex of the cell just beneath the plasma membrane. [GOC:mah, ISBN:0198506732, PMID:10666339]	5	0.0427	2.33E-6	1.46E-4
GO_MYOSIN_COMPLEX	57	A protein complex, formed of one or more myosin heavy chains plus associated light chains and other proteins, that functions as a molecular motor; uses the energy of ATP hydrolysis to move actin filaments or to move vesicles or other cargo on fixed actin filaments; has magnesium-ATPase activity and binds actin. Myosin classes are distinguished based on sequence features of the motor, or head, domain, but also have distinct tail regions that are believed to bind specific cargoes. [GOC:mah, Wikipedia:Myosin]	4	0.0702	3.52E-6	2.07E-4
GO_NUCLEAR_PERIPHERY	131	The portion of the nuclear lumen proximal to the inner nuclear membrane. [GOC:krc, GOC:mah]	5	0.0382	4.06E-6	2.26E-4
GO_CLUSTER_OF_ACTIN_BASED_CELL_PROJECTIONS	159	A cell part consisting of multiple, closely packed actin-based cell projections. [GOC:dos]	5	0.0314	1.04E-5	4.95E-4
