Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
REACTOME_MITOTIC_PROMETAPHASE	203	Mitotic Prometaphase	4	0.0197	1.19E-5	1.85E-2
REACTOME_GLUCOSE_METABOLISM	92	Glucose metabolism	3	0.0326	3.68E-5	2.86E-2
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	126	Resolution of Sister Chromatid Cohesion	3	0.0238	9.39E-5	4.86E-2
REACTOME_HIV_LIFE_CYCLE	149	HIV Life Cycle	3	0.0201	1.54E-4	5.99E-2
REACTOME_M_PHASE	417	M Phase	4	0.0096	1.94E-4	6.04E-2
REACTOME_GLUCONEOGENESIS	34	Gluconeogenesis	2	0.0588	2.61E-4	6.75E-2
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	191	Separation of Sister Chromatids	3	0.0157	3.2E-4	7.1E-2
REACTOME_HIV_INFECTION	231	HIV Infection	3	0.0130	5.57E-4	9.26E-2
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	236	Mitotic Metaphase and Anaphase	3	0.0127	5.93E-4	9.26E-2
REACTOME_CELL_CYCLE_MITOTIC	561	Cell Cycle, Mitotic	4	0.0071	5.96E-4	9.26E-2
REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME	70	Transcription of the HIV genome	2	0.0286	1.1E-3	1.43E-1
REACTOME_METABOLISM_OF_CARBOHYDRATES	293	Metabolism of carbohydrates	3	0.0102	1.11E-3	1.43E-1
REACTOME_CELL_CYCLE	693	Cell Cycle	4	0.0058	1.31E-3	1.56E-1
REACTOME_RNA_POLYMERASE_II_TRANSCRIBES_SNRNA_GENES	81	RNA polymerase II transcribes snRNA genes	2	0.0247	1.47E-3	1.64E-1
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	362	Transcriptional Regulation by TP53	3	0.0083	2.03E-3	2.1E-1
REACTOME_MITOTIC_SPINDLE_CHECKPOINT	111	Mitotic Spindle Checkpoint	2	0.0180	2.74E-3	2.66E-1
REACTOME_INFECTIOUS_DISEASE	866	Infectious disease	4	0.0046	2.93E-3	2.68E-1
REACTOME_RHO_GTPASES_ACTIVATE_FORMINS	140	RHO GTPases Activate Formins	2	0.0143	4.32E-3	3.57E-1
REACTOME_DISEASE	1580	Disease	5	0.0032	4.36E-3	3.57E-1
REACTOME_REGULATION_OF_TP53_ACTIVITY	160	Regulation of TP53 Activity	2	0.0125	5.59E-3	4.35E-1
REACTOME_MEMBRANE_TRAFFICKING	629	Membrane Trafficking	3	0.0048	9.42E-3	6.97E-1
REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES	221	Ub-specific processing proteases	2	0.0090	1.04E-2	7.36E-1
REACTOME_METABOLISM_OF_RNA	672	Metabolism of RNA	3	0.0045	1.13E-2	7.61E-1
REACTOME_VESICLE_MEDIATED_TRANSPORT	724	Vesicle-mediated transport	3	0.0041	1.38E-2	8.91E-1
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	1373	RNA Polymerase II Transcription	4	0.0029	1.46E-2	9.07E-1
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	1432	Post-translational protein modification	4	0.0028	1.68E-2	9.92E-1
REACTOME_CELL_CYCLE_CHECKPOINTS	292	Cell Cycle Checkpoints	2	0.0068	1.77E-2	9.92E-1
REACTOME_DEUBIQUITINATION	298	Deubiquitination	2	0.0067	1.83E-2	9.92E-1
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	301	Extracellular matrix organization	2	0.0066	1.87E-2	9.92E-1
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	305	Asparagine N-linked glycosylation	2	0.0066	1.92E-2	9.92E-1


