Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
GSE40666_UNTREATED_VS_IFNA_STIM_STAT4_KO_EFFECTOR_CD8_TCELL_90MIN_UP	200	Genes up-regulated in CD8 T cells with STAT4 [GeneID=6775]: untreated versus interferon alpha.	5	0.0250	1.91E-6	6.77E-3
GSE32901_NAIVE_VS_TH17_NEG_CD4_TCELL_UP	171	Genes up-regulated in CD4 [GeneID=920] T cells: naïve versus Th17 negative.	4	0.0234	2.87E-5	6.77E-3
GSE6259_DEC205_POS_DC_VS_BCELL_DN	171	Genes down-regulated in splenic dendritic cells: DEC205+ versus B lymphocytes.	4	0.0234	2.87E-5	6.77E-3
GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_UP	186	Genes up-regulated in comparison of unstimulated peripheral blood mononuclear cells (PBMC) versus PBMC 7 days after stimulation with YF17D vaccine.	4	0.0215	3.98E-5	6.77E-3
GSE43863_NAIVE_VS_TH1_EFF_CD4_TCELL_D6_LCMV_UP	193	Genes up-regulated in CD4 [GeneID=920] SMARTA cells: naïve versus during acute infection of LCMV.	4	0.0207	4.59E-5	6.77E-3
GSE29949_MICROGLIA_BRAIN_VS_CD8_NEG_DC_SPLEEN_UP	195	Genes up-regulated in brain microglia versus spleen CD8- dendritic cells.	4	0.0205	4.78E-5	6.77E-3
GSE17974_2.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_DN	196	Genes down-regulated in comparison of CD4 [GeneID=920] T cells treated with IL4 [GeneID=3565] and anti-IL12 at 2 h versus those at 72 h.	4	0.0204	4.88E-5	6.77E-3
GSE10325_CD4_TCELL_VS_LUPUS_CD4_TCELL_UP	197	Genes up-regulated in comparison of healthy CD4 [GeneID=920] T cells versus systemic lupus erythematosus CD4 [GeneID=920] T cells.	4	0.0203	4.98E-5	6.77E-3
GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_72H_CD4_TCELL_DN	198	Genes down-regulated in comparison of untreated CD4 [GeneID=920] T cells at 0 h versus the cells treated with IL4 [GeneID=3565] and anti-IL12 at 72 h.	4	0.0202	5.08E-5	6.77E-3
GSE25087_FETAL_VS_ADULT_TREG_UP	198	Genes up-regulated in comparison of fetal regulatory T cell (Treg) versus adult regulatory T cell (Treg).	4	0.0202	5.08E-5	6.77E-3
GSE34205_HEALTHY_VS_FLU_INF_INFANT_PBMC_UP	198	Genes up-regulated in comparison of peripheral blood mononuclear cells (PBMC) from healthy donors versus PBMCs from infanct with acute influenza infection.	4	0.0202	5.08E-5	6.77E-3
GSE17186_NAIVE_VS_CD21HIGH_TRANSITIONAL_BCELL_CORD_BLOOD_DN	199	Genes down-regulated in B lymphocytes from cord blood: naïve versus transitional CR2 [GeneID=1380] high.	4	0.0201	5.18E-5	6.77E-3
GSE17974_1.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_DN	199	Genes down-regulated in comparison of CD4 [GeneID=920] T cells treated with IL4 [GeneID=3565] and anti-IL12 at 1.5 h versus those at 72 h.	4	0.0201	5.18E-5	6.77E-3
GSE26156_DOUBLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_UP	199	Genes up-regulated in thymocytes: double positive versus CD4 [GeneID=920] single positive.	4	0.0201	5.18E-5	6.77E-3
GSE42088_UNINF_VS_LEISHMANIA_INF_DC_4H_DN	199	Genes down-regulated in dendritic cells: untreated versus 4h after infection of Leishmania major.	4	0.0201	5.18E-5	6.77E-3
GSE42724_NAIVE_VS_B1_BCELL_DN	199	Genes down-regulated in B lymphocytes: naïve versus B1.	4	0.0201	5.18E-5	6.77E-3
GSE8678_IL7R_LOW_VS_HIGH_EFF_CD8_TCELL_UP	199	Genes up-regulated in IL7R [GeneID=3575] low effector CD8 T cells versus IL7R [GeneID=3575] high effector CD8 T cells.	4	0.0201	5.18E-5	6.77E-3
GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN	200	Genes down-regulated in comparison of naïve CD8 T cells versus effector CD8 T cells.	4	0.0200	5.28E-5	6.77E-3
GSE12845_NAIVE_VS_PRE_GC_TONSIL_BCELL_DN	200	Genes down-regulated in comparison of naive B cell versus pre-germinal tonsil B cells.	4	0.0200	5.28E-5	6.77E-3
GSE14308_TH2_VS_TH17_UP	200	Genes up-regulated in comparison of Th2 cells versus Th17 cells.	4	0.0200	5.28E-5	6.77E-3
GSE1432_1H_VS_6H_IFNG_MICROGLIA_DN	200	Genes down-regulated in comparison of microglia cells 1 h after stimulation with IFNG [GeneID=3458] versus microglia cells 6 h after the stimulation.	4	0.0200	5.28E-5	6.77E-3
GSE17186_BLOOD_VS_CORD_BLOOD_NAIVE_BCELL_DN	200	Genes down-regulated in naïve B lymphocytes versus those from cord blood.	4	0.0200	5.28E-5	6.77E-3
GSE17721_CTRL_VS_POLYIC_12H_BMDC_UP	200	Genes up-regulated in comparison of control dendritic cells (DC) at 12 h versus those stimulated with poly(I:C) (TLR3 agonist) at 12 h.	4	0.0200	5.28E-5	6.77E-3
GSE17721_LPS_VS_CPG_6H_BMDC_DN	200	Genes down-regulated in comparison of dendritic cells (DC) stimulated with LPS (TLR4 agonist) at 6 h versus DC cells stimulated with CpG DNA (TLR9 agonist) at 6 h.	4	0.0200	5.28E-5	6.77E-3
GSE1925_CTRL_VS_IFNG_PRIMED_MACROPHAGE_DN	200	Genes down-regulated in control macrophages: untreated versus primed by IFNG [GeneID=3458].	4	0.0200	5.28E-5	6.77E-3
GSE19401_UNSTIM_VS_PAM2CSK4_STIM_FOLLICULAR_DC_DN	200	Genes down-regulated in the in vitro follicular dendritic cells from peripheral lymph nodes: unstimulated versus Pam2CSK4 (96h).	4	0.0200	5.28E-5	6.77E-3
GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_UP	200	Genes up-regulated in monocytes: control versus HCMV infection.	4	0.0200	5.28E-5	6.77E-3
GSE19772_HCMV_INFL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN	200	Genes down-regulated in monocytes after HCMV infection: untreated versus pre-treated with Ly294002 [PubChem=3973].	4	0.0200	5.28E-5	6.77E-3
GSE21670_IL6_VS_TGFB_AND_IL6_TREATED_STAT3_KO_CD4_TCELL_UP	200	Genes up-regulated in CD4 [GeneID=920] T cells with STAT3 [GeneID=6774] knockout: IL6 [GeneID=3569] versus TGF beta and IL6 [GeneID=3569].	4	0.0200	5.28E-5	6.77E-3
GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	200	Genes up-regulated in polymorphonuclear leukocytes (24h): control versus infection by A. phagocytophilum.	4	0.0200	5.28E-5	6.77E-3
GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	200	Genes down-regulated in polymorphonuclear leukocytes (9h): control versus infection by A. phagocytophilum.	4	0.0200	5.28E-5	6.77E-3
GSE24726_WT_VS_E2_2_KO_PDC_UP	200	Genes up-regulated in plasmacytoid dendritic cells: wildtype versus TCF4 [GeneID=6925] knockout.	4	0.0200	5.28E-5	6.77E-3
GSE33162_UNTREATED_VS_4H_LPS_STIM_HDAC3_KO_MACROPHAGE_UP	200	Genes up-regulated in macrophages with knockout of HDAC3 [GeneID=8841]: untreated versus LPS.	4	0.0200	5.28E-5	6.77E-3
GSE3337_CTRL_VS_16H_IFNG_IN_CD8POS_DC_DN	200	Genes down-regulated in comparison of untreated CD8+ dendritic cells (DC) at 16 h versus those treated with IFNG [GeneID=31658] at 16 h.	4	0.0200	5.28E-5	6.77E-3
GSE33424_CD161_HIGH_VS_NEG_CD8_TCELL_UP	200	Genes up-regulated in CD8 T cells: KLRB1 high [GeneID=3820] versus KLRB1- [GeneID=3820].	4	0.0200	5.28E-5	6.77E-3
GSE37532_TREG_VS_TCONV_PPARG_KO_CD4_TCELL_FROM_VISCERAL_ADIPOSE_TISSUE_UP	200	Genes up-regulated in visceral adipose tissue from aged PPARG [GeneID=5468] knockout mice: T reg versus T conv.	4	0.0200	5.28E-5	6.77E-3
GSE411_100MIN_VS_400MIN_IL6_STIM_MACROPHAGE_UP	200	Genes up-regulated in macrophages treated by IL6 [GeneID=3569]: 100min versus 400min.	4	0.0200	5.28E-5	6.77E-3
GSE9650_EXHAUSTED_VS_MEMORY_CD8_TCELL_UP	200	Genes up-regulated in comparison of exhausted CD8 T cells versus memory CD8 T cells.	4	0.0200	5.28E-5	6.77E-3
