Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI	613	Cellular responses to external stimuli	9	0.0147	9.8E-9	1.52E-5
REACTOME_DISEASE	1580	Disease	11	0.0070	3.67E-7	2.85E-4
REACTOME_INFLUENZA_INFECTION	157	Influenza Infection	5	0.0318	5.79E-7	3E-4
REACTOME_RHO_GTPASE_EFFECTORS	324	RHO GTPase Effectors	6	0.0185	9.45E-7	3.67E-4
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	102	Response of EIF2AK4 (GCN2) to amino acid deficiency	4	0.0392	3.73E-6	1.16E-3
REACTOME_METABOLISM_OF_RNA	672	Metabolism of RNA	7	0.0104	4.95E-6	1.28E-3
REACTOME_SIGNALING_BY_RHO_GTPASES	454	Signaling by Rho GTPases	6	0.0132	6.58E-6	1.46E-3
REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS	37	Interactions of Vpr with host cellular proteins	3	0.0811	7.54E-6	1.46E-3
REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS	43	Transport of Mature mRNAs Derived from Intronless Transcripts	3	0.0698	1.19E-5	2.06E-3
REACTOME_INFECTIOUS_DISEASE	866	Infectious disease	7	0.0081	2.55E-5	3.96E-3
REACTOME_TRNA_PROCESSING_IN_THE_NUCLEUS	59	tRNA processing in the nucleus	3	0.0508	3.11E-5	4.39E-3
REACTOME_INTERFERON_SIGNALING	203	Interferon Signaling	4	0.0197	5.59E-5	6.02E-3
REACTOME_MITOTIC_PROMETAPHASE	203	Mitotic Prometaphase	4	0.0197	5.59E-5	6.02E-3
REACTOME_GLYCOLYSIS	72	Glycolysis	3	0.0417	5.65E-5	6.02E-3
REACTOME_RRNA_PROCESSING	205	rRNA processing	4	0.0195	5.81E-5	6.02E-3
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	82	Antiviral mechanism by IFN-stimulated genes	3	0.0366	8.32E-5	8.08E-3
REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	84	Transport of Mature Transcript to Cytoplasm	3	0.0357	8.94E-5	8.17E-3
REACTOME_GLUCOSE_METABOLISM	92	Glucose metabolism	3	0.0326	1.17E-4	1.01E-2
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	94	Eukaryotic Translation Elongation	3	0.0319	1.25E-4	1.02E-2
REACTOME_SIGNALING_BY_CYTOSOLIC_FGFR1_FUSION_MUTANTS	18	Signaling by cytosolic FGFR1 fusion mutants	2	0.1111	1.55E-4	1.2E-2
REACTOME_MITOTIC_SPINDLE_CHECKPOINT	111	Mitotic Spindle Checkpoint	3	0.0270	2.04E-4	1.39E-2
REACTOME_TRNA_PROCESSING	111	tRNA processing	3	0.0270	2.04E-4	1.39E-2
REACTOME_RHO_GTPASES_ACTIVATE_PAKS	21	RHO GTPases activate PAKs	2	0.0952	2.12E-4	1.39E-2
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	113	SRP-dependent cotranslational protein targeting to membrane	3	0.0265	2.15E-4	1.39E-2
REACTOME_CELL_CYCLE_CHECKPOINTS	292	Cell Cycle Checkpoints	4	0.0137	2.26E-4	1.39E-2
REACTOME_NONSENSE_MEDIATED_DECAY_NMD_	116	Nonsense-Mediated Decay (NMD)	3	0.0259	2.33E-4	1.39E-2
REACTOME_SELENOAMINO_ACID_METABOLISM	118	Selenoamino acid metabolism	3	0.0254	2.45E-4	1.4E-2
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	120	Eukaryotic Translation Initiation	3	0.0250	2.57E-4	1.4E-2
REACTOME_CELL_CYCLE_MITOTIC	561	Cell Cycle, Mitotic	5	0.0089	2.61E-4	1.4E-2
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	126	Resolution of Sister Chromatid Cohesion	3	0.0238	2.97E-4	1.54E-2
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	131	Host Interactions of HIV factors	3	0.0229	3.32E-4	1.67E-2
REACTOME_RHO_GTPASES_ACTIVATE_FORMINS	140	RHO GTPases Activate Formins	3	0.0214	4.04E-4	1.96E-2
REACTOME_MITOTIC_PROPHASE	143	Mitotic Prophase	3	0.0210	4.3E-4	1.99E-2
