Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
HP_ABNORMALITY_OF_THE_SHOULDER_GIRDLE_MUSCULATURE	110	Abnormality of the shoulder girdle musculature	5	0.0455	5.8E-9	2.61E-5
HP_ABNORMALITY_OF_THE_MUSCULATURE_OF_THE_UPPER_LIMBS	167	Abnormality of the musculature of the upper limbs	5	0.0299	4.72E-8	8.06E-5
HP_UNERUPTED_TOOTH	13	Unerupted tooth	3	0.2308	5.38E-8	8.06E-5
HP_SCAPULAR_WINGING	72	Scapular winging	4	0.0556	9.91E-8	1.11E-4
HP_ABNORMALITY_OF_THE_SCAPULA	118	Abnormality of the scapula	4	0.0339	7.25E-7	6.52E-4
HP_HYPERLORDOSIS	174	Hyperlordosis	4	0.0230	3.41E-6	1.93E-3
HP_FAILURE_OF_ERUPTION_OF_PERMANENT_TEETH	5	Failure of eruption of permanent teeth	2	0.4000	3.43E-6	1.93E-3
HP_SPONDYLOLYSIS	5	Spondylolysis	2	0.4000	3.43E-6	1.93E-3
HP_ABNORMALITY_OF_THE_MUSCULATURE_OF_THE_LIMBS	412	Abnormality of the musculature of the limbs	5	0.0121	4.06E-6	2.03E-3
HP_SANDAL_GAP	67	Sandal gap	3	0.0448	8.82E-6	3.47E-3
HP_INGUINAL_HERNIA	222	Inguinal hernia	4	0.0180	8.93E-6	3.47E-3
HP_CAPITATE_HAMATE_FUSION	8	Capitate-hamate fusion	2	0.2500	9.6E-6	3.47E-3
HP_ABNORMALITY_OF_THE_INNER_EAR	872	Abnormality of the inner ear	6	0.0069	1E-5	3.47E-3
HP_FIBULAR_APLASIA	9	Fibular aplasia	2	0.2222	1.23E-5	3.96E-3
HP_ABNORMALITY_OF_THE_FORAMEN_MAGNUM	10	Abnormality of the foramen magnum	2	0.2000	1.54E-5	4.19E-3
HP_LIMB_GIRDLE_MUSCLE_WEAKNESS	81	Limb-girdle muscle weakness	3	0.0370	1.56E-5	4.19E-3
HP_ORAL_CLEFT	555	Oral cleft	5	0.0090	1.71E-5	4.19E-3
HP_HIGH_PALATE	559	High palate	5	0.0089	1.77E-5	4.19E-3
HP_ABNORMALITY_OF_TOE	569	Abnormality of toe	5	0.0088	1.93E-5	4.19E-3
HP_OBSESSIVE_COMPULSIVE_BEHAVIOR	87	Obsessive-compulsive behavior	3	0.0345	1.94E-5	4.19E-3
HP_ABNORMALITY_OF_THE_CURVATURE_OF_THE_VERTEBRAL_COLUMN	981	Abnormality of the curvature of the vertebral column	6	0.0061	1.96E-5	4.19E-3
HP_ABNORMAL_SHAPE_OF_THE_OCCIPUT	91	Abnormal shape of the occiput	3	0.0330	2.22E-5	4.52E-3
HP_APLASIA_HYPOPLASIA_INVOLVING_THE_NOSE	93	Aplasia/Hypoplasia involving the nose	3	0.0323	2.36E-5	4.62E-3
HP_ABNORMAL_NUMBER_OF_TEETH	294	Abnormal number of teeth	4	0.0136	2.69E-5	5.03E-3
HP_AORTIC_ANEURYSM	108	Aortic aneurysm	3	0.0278	3.7E-5	6.65E-3
HP_BROAD_FACE	16	Broad face	2	0.1250	4.1E-5	6.97E-3
HP_BROAD_DISTAL_PHALANX_OF_FINGER	17	Broad distal phalanx of finger	2	0.1176	4.65E-5	6.97E-3
HP_PERSEVERATION	17	Perseveration	2	0.1176	4.65E-5	6.97E-3
HP_RADIAL_BOWING	17	Radial bowing	2	0.1176	4.65E-5	6.97E-3
HP_ABNORMALITY_OF_THE_LENS	685	Abnormality of the lens	5	0.0073	4.67E-5	6.97E-3
HP_SHORT_STATURE	1152	Short stature	6	0.0052	4.81E-5	6.97E-3
HP_ABNORMAL_5TH_FINGER_MORPHOLOGY	370	Abnormal 5th finger morphology	4	0.0108	6.57E-5	9.22E-3
HP_APLASIA_HYPOPLASIA_OF_THE_DISTAL_PHALANGES_OF_THE_HAND	133	Aplasia/Hypoplasia of the distal phalanges of the hand	3	0.0226	6.87E-5	9.36E-3
HP_ABNORMALITY_OF_THE_CALCANEUS	21	Abnormality of the calcaneus	2	0.0952	7.17E-5	9.48E-3
HP_DEVIATION_OF_THE_HAND_OR_OF_FINGERS_OF_THE_HAND	386	Deviation of the hand or of fingers of the hand	4	0.0104	7.73E-5	9.93E-3
HP_FUSED_CERVICAL_VERTEBRAE	23	Fused cervical vertebrae	2	0.0870	8.63E-5	1.08E-2
HP_BOWING_OF_THE_ARM	24	Bowing of the arm	2	0.0833	9.41E-5	1.09E-2
HP_STILLBIRTH	24	Stillbirth	2	0.0833	9.41E-5	1.09E-2
HP_ABNORMALITY_OF_THE_FEMORAL_NECK_OR_HEAD_REGION	151	Abnormality of the femoral neck or head region	3	0.0199	1E-4	1.09E-2
HP_ABNORMALITY_OF_THE_ABDOMINAL_WALL	418	Abnormality of the abdominal wall	4	0.0096	1.05E-4	1.09E-2
HP_APRAXIA	156	Apraxia	3	0.0192	1.1E-4	1.09E-2
HP_DILATATION	156	Dilatation	3	0.0192	1.1E-4	1.09E-2
HP_ABNORMALITY_OF_THE_DISTAL_PHALANX_OF_THE_THUMB	26	Abnormality of the distal phalanx of the thumb	2	0.0769	1.11E-4	1.09E-2
HP_APLASIA_HYPOPLASIA_OF_THE_HUMERUS	26	Aplasia/hypoplasia of the humerus	2	0.0769	1.11E-4	1.09E-2
