Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	191	Separation of Sister Chromatids	8	0.0419	1.18E-9	1.83E-6
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	236	Mitotic Metaphase and Anaphase	8	0.0339	6.22E-9	4.83E-6
REACTOME_CELL_CYCLE_MITOTIC	561	Cell Cycle, Mitotic	10	0.0178	3.24E-8	1.28E-5
REACTOME_M_PHASE	417	M Phase	9	0.0216	3.3E-8	1.28E-5
REACTOME_MITOTIC_PROMETAPHASE	203	Mitotic Prometaphase	7	0.0345	5.19E-8	1.61E-5
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	126	Resolution of Sister Chromatid Cohesion	6	0.0476	7.31E-8	1.89E-5
REACTOME_CELL_CYCLE	693	Cell Cycle	10	0.0144	2.29E-7	5.09E-5
REACTOME_GLUCOSE_METABOLISM	92	Glucose metabolism	5	0.0543	4.93E-7	9.58E-5
REACTOME_MITOTIC_SPINDLE_CHECKPOINT	111	Mitotic Spindle Checkpoint	5	0.0450	1.25E-6	2.17E-4
REACTOME_INFECTIOUS_DISEASE	866	Infectious disease	10	0.0115	1.72E-6	2.61E-4
REACTOME_DISEASE	1580	Disease	13	0.0082	1.85E-6	2.61E-4
REACTOME_RHO_GTPASES_ACTIVATE_FORMINS	140	RHO GTPases Activate Formins	5	0.0357	3.93E-6	5.09E-4
REACTOME_CELL_CYCLE_CHECKPOINTS	292	Cell Cycle Checkpoints	6	0.0205	9.77E-6	1.17E-3
REACTOME_GLUCONEOGENESIS	34	Gluconeogenesis	3	0.0882	2.58E-5	2.86E-3
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	374	Metabolism of amino acids and derivatives	6	0.0160	3.92E-5	4.06E-3
REACTOME_HIV_INFECTION	231	HIV Infection	5	0.0216	4.4E-5	4.27E-3
REACTOME_SIGNALING_BY_RHO_GTPASES	454	Signaling by Rho GTPases	6	0.0132	1.14E-4	1.01E-2
REACTOME_HIV_LIFE_CYCLE	149	HIV Life Cycle	4	0.0268	1.17E-4	1.01E-2
REACTOME_METABOLISM_OF_RNA	672	Metabolism of RNA	7	0.0104	1.32E-4	1.05E-2
REACTOME_METABOLISM_OF_CARBOHYDRATES	293	Metabolism of carbohydrates	5	0.0171	1.35E-4	1.05E-2
REACTOME_RHO_GTPASE_EFFECTORS	324	RHO GTPase Effectors	5	0.0154	2.15E-4	1.59E-2
REACTOME_GLYCOLYSIS	72	Glycolysis	3	0.0417	2.45E-4	1.73E-2
REACTOME_NUCLEAR_ENVELOPE_NE_REASSEMBLY	76	Nuclear Envelope (NE) Reassembly	3	0.0395	2.88E-4	1.94E-2
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	362	Transcriptional Regulation by TP53	5	0.0138	3.57E-4	2.31E-2
REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI	613	Cellular responses to external stimuli	6	0.0098	5.66E-4	3.52E-2
REACTOME_MEMBRANE_TRAFFICKING	629	Membrane Trafficking	6	0.0095	6.48E-4	3.87E-2
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	884	Cytokine Signaling in Immune system	7	0.0079	6.84E-4	3.94E-2
REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION	25	Cyclin A/B1/B2 associated events during G2/M transition	2	0.0800	8.06E-4	4.47E-2
REACTOME_POSTMITOTIC_NUCLEAR_PORE_COMPLEX_NPC_REFORMATION	27	Postmitotic nuclear pore complex (NPC) reformation	2	0.0741	9.41E-4	5.04E-2
REACTOME_NONSENSE_MEDIATED_DECAY_NMD_	116	Nonsense-Mediated Decay (NMD)	3	0.0259	9.89E-4	5.12E-2
