Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
GSE17721_LPS_VS_CPG_6H_BMDC_DN	200	Genes down-regulated in comparison of dendritic cells (DC) stimulated with LPS (TLR4 agonist) at 6 h versus DC cells stimulated with CpG DNA (TLR9 agonist) at 6 h.	4	0.0200	1.49E-5	2.78E-2
GSE24726_WT_VS_E2_2_KO_PDC_UP	200	Genes up-regulated in plasmacytoid dendritic cells: wildtype versus TCF4 [GeneID=6925] knockout.	4	0.0200	1.49E-5	2.78E-2
GSE32901_NAIVE_VS_TH17_NEG_CD4_TCELL_UP	171	Genes up-regulated in CD4 [GeneID=920] T cells: naïve versus Th17 negative.	3	0.0175	2.85E-4	2.78E-2
GSE6259_DEC205_POS_DC_VS_BCELL_DN	171	Genes down-regulated in splenic dendritic cells: DEC205+ versus B lymphocytes.	3	0.0175	2.85E-4	2.78E-2
GSE6269_HEALTHY_VS_FLU_INF_PBMC_UP	175	Genes up-regulated in comparison of peripheral blood mononuclear cells (PBMC) from healthy donors versus PBMC from patients with acute influenza infection.	3	0.0171	3.05E-4	2.78E-2
GSE6269_STAPH_AUREUS_VS_STREP_PNEUMO_INF_PBMC_DN	180	Genes down-regulated in comparison of peripheral blood mononuclear cells (PBMC) from patients with acute infection: S. aureus versus S. pneumoniae.	3	0.0167	3.31E-4	2.78E-2
GSE14415_INDUCED_TREG_VS_FAILED_INDUCED_TREG_UP	185	Genes up-regulated in T reg: induced versus failed induced.	3	0.0162	3.59E-4	2.78E-2
GSE14415_TCONV_VS_FOXP3_KO_INDUCED_TREG_DN	185	Genes down-regulated in T conv versus induced T reg with non-functional FOXP3 [GeneID=50943].	3	0.0162	3.59E-4	2.78E-2
GSE1791_CTRL_VS_NEUROMEDINU_IN_T_CELL_LINE_3H_UP	188	Genes up-regulated in D10.G4.1 T cell line (3h): control versus treated with NMU [GeneID=10874].	3	0.0160	3.76E-4	2.78E-2
GSE1460_NAIVE_CD4_TCELL_ADULT_BLOOD_VS_THYMIC_STROMAL_CELL_UP	193	Genes up-regulated in naive CD4 [GeneID=920] T cells from adult blood versus thymic stromal cells.	3	0.0155	4.06E-4	2.78E-2
