Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
GO_RNA_BINDING	1975	Interacting selectively and non-covalently with an RNA molecule or a portion thereof. [GOC:jl, GOC:mah]	24	0.0122	3.48E-17	5.91E-14
GO_CYTOSKELETAL_PROTEIN_BINDING	979	Interacting selectively and non-covalently with any protein component of any cytoskeleton (actin, microtubule, or intermediate filament cytoskeleton). [GOC:mah]	11	0.0112	9.55E-8	8.11E-5
GO_RIBONUCLEOTIDE_BINDING	1899	Interacting selectively and non-covalently with a ribonucleotide, any compound consisting of a ribonucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose moiety. [GOC:mah]	13	0.0068	1.63E-6	9.23E-4
GO_TRNA_BINDING	66	Interacting selectively and non-covalently with transfer RNA. [GOC:ai]	4	0.0606	2.31E-6	9.8E-4
GO_STRUCTURAL_MOLECULE_ACTIVITY	709	The action of a molecule that contributes to the structural integrity of a complex or its assembly within or outside a cell. [GOC:mah, GOC:vw]	8	0.0113	6.2E-6	2.11E-3
GO_LIGASE_ACTIVITY_FORMING_CARBON_OXYGEN_BONDS	41	Catalysis of the joining of two molecules via a carbon-oxygen bond, with the concomitant hydrolysis of the diphosphate bond in ATP or a similar triphosphate. [EC:6.1, GOC:mah]	3	0.0732	2.65E-5	7.51E-3
GO_ACTIN_BINDING	437	Interacting selectively and non-covalently with monomeric or multimeric forms of actin, including actin filaments. [GOC:clt]	6	0.0137	3.33E-5	8.07E-3
GO_ADENYL_NUCLEOTIDE_BINDING	1546	Interacting selectively and non-covalently with adenyl nucleotides, any compound consisting of adenosine esterified with (ortho)phosphate. [ISBN:0198506732]	10	0.0065	5E-5	1.06E-2
GO_PROTEIN_CONTAINING_COMPLEX_BINDING	1258	Interacting selectively and non-covalently with a macromolecular complex. [GOC:jl]	9	0.0072	5.78E-5	1.09E-2
GO_LIGASE_ACTIVITY	165	Catalysis of the joining of two molecules, or two groups within a single molecule, using the energy from the hydrolysis of ATP, a similar triphosphate, or a pH gradient. [EC:6, GOC:mah]	4	0.0242	8.62E-5	1.46E-2
GO_CADHERIN_BINDING	332	Interacting selectively and non-covalently with cadherin, a type I membrane protein involved in cell adhesion. [GOC:bf]	5	0.0151	1.02E-4	1.58E-2
GO_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING	84	Functions during translation by interacting selectively and non-covalently with RNA during polypeptide synthesis at the ribosome. [GOC:ai, GOC:vw]	3	0.0357	2.27E-4	3.21E-2
GO_TRANSLATION_ELONGATION_FACTOR_ACTIVITY	19	Functions in chain elongation during polypeptide synthesis at the ribosome. [ISBN:0198506732]	2	0.1053	3.23E-4	4.22E-2
GO_PROTEIN_DOMAIN_SPECIFIC_BINDING	714	Interacting selectively and non-covalently with a specific domain of a protein. [GOC:go_curators]	6	0.0084	4.77E-4	5.53E-2
GO_TRANSLATION_REGULATOR_ACTIVITY_NUCLEIC_ACID_BINDING	109	Any selective and non-covalent interaction with a nucleic acid involved in the initiation, activation, perpetuation, repression or termination of polypeptide synthesis at the ribosome. [GOC:dph, GOC:tb, GOC:vw]	3	0.0275	4.89E-4	5.53E-2
GO_KINASE_BINDING	752	Interacting selectively and non-covalently with a kinase, any enzyme that catalyzes the transfer of a phosphate group. [GOC:jl]	6	0.0080	6.26E-4	6.64E-2
GO_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA	123	Catalytic activity that acts to modify a tRNA. [GOC:molecular_function_refactoring, GOC:pdt]	3	0.0244	6.95E-4	6.68E-2
GO_SPECTRIN_BINDING	28	Interacting selectively and non-covalently with spectrin, a protein that is the major constituent of the erythrocyte cytoskeletal network. It associates with band 4.1 (see band protein) and actin to form the cytoskeletal superstructure of the erythrocyte plasma membrane. It is composed of nonhomologous chains, alpha and beta, which aggregate side-to-side in an antiparallel fashion to form dimers, tetramers, and higher polymers. [GOC:mah, ISBN:0198506732]	2	0.0714	7.08E-4	6.68E-2
GO_MOTOR_ACTIVITY	132	Catalysis of the generation of force resulting either in movement along a microfilament or microtubule, or in torque resulting in membrane scission, coupled to the hydrolysis of a nucleoside triphosphate. [GOC:mah, GOC:vw, ISBN:0815316194, PMID:11242086]	3	0.0227	8.52E-4	7.61E-2
GO_CELL_ADHESION_MOLECULE_BINDING	544	Interacting selectively and non-covalently with a cell adhesion molecule. [GOC:ai]	5	0.0092	9.78E-4	8E-2
GO_TRANSLATION_REGULATOR_ACTIVITY	139	Any molecular function involved in the initiation, activation, perpetuation, repression or termination of polypeptide synthesis at the ribosome. [GOC:ai]	3	0.0216	9.9E-4	8E-2
GO_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES	857	Catalysis of the hydrolysis of any acid anhydride. [GOC:jl]	6	0.0070	1.23E-3	9.48E-2
GO_PHOSPHOTRANSFERASE_ACTIVITY_PHOSPHATE_GROUP_AS_ACCEPTOR	40	Catalysis of the transfer of a phosphorus-containing group from one compound (donor) to a phosphate group (acceptor). [GOC:jl]	2	0.0500	1.45E-3	1.07E-1
GO_CATALYTIC_ACTIVITY_ACTING_ON_RNA	385	Catalytic activity that acts to modify RNA. [GOC:molecular_function_refactoring, GOC:pdt]	4	0.0104	2.08E-3	1.47E-1
GO_ACTIN_FILAMENT_BINDING	206	Interacting selectively and non-covalently with an actin filament, also known as F-actin, a helical filamentous polymer of globular G-actin subunits. [ISBN:0198506732]	3	0.0146	3.04E-3	2.06E-1
GO_KINASE_ACTIVITY	732	Catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule. [ISBN:0198506732]	5	0.0068	3.56E-3	2.32E-1
GO_FLAVIN_ADENINE_DINUCLEOTIDE_BINDING	81	Interacting selectively and non-covalently with FAD, flavin-adenine dinucleotide, the coenzyme or the prosthetic group of various flavoprotein oxidoreductase enzymes, in either the oxidized form, FAD, or the reduced form, FADH2. [GOC:ai, GOC:imk, ISBN:0198506732]	2	0.0247	5.79E-3	3.64E-1
GO_SINGLE_STRANDED_RNA_BINDING	90	Interacting selectively and non-covalently with single-stranded RNA. [GOC:jl]	2	0.0222	7.1E-3	4.3E-1
GO_TRANSFERASE_ACTIVITY_TRANSFERRING_PHOSPHORUS_CONTAINING_GROUPS	879	Catalysis of the transfer of a phosphorus-containing group from one compound (donor) to another (acceptor). [GOC:jl, ISBN:0198506732]	5	0.0057	7.62E-3	4.46E-1
GO_SIGNALING_RECEPTOR_BINDING	1654	Interacting selectively and non-covalently with one or more specific sites on a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function. [GOC:bf, GOC:ceb, ISBN:0198506732]	7	0.0042	7.99E-3	4.52E-1
GO_MRNA_BINDING	574	Interacting selectively and non-covalently with messenger RNA (mRNA), an intermediate molecule between DNA and protein. mRNA includes UTR and coding sequences, but does not contain introns. [GOC:kmv, GOC:pr, SO:0000234]	4	0.0070	8.5E-3	4.65E-1
