Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
GO_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR	267	An intracellular signaling process that is induced by the cell cycle regulator phosphoprotein p53 or an equivalent protein. [GOC:mah]	4	0.0150	3.48E-5	1.91E-1
GO_TRANSCYTOSIS	20	The directed movement of endocytosed material through the cell and its exocytosis from the plasma membrane at the opposite side. [ISBN:0716731363]	2	0.1000	8.88E-5	1.91E-1
GO_ORGANIC_ACID_METABOLIC_PROCESS	1183	The chemical reactions and pathways involving organic acids, any acidic compound containing carbon in covalent linkage. [ISBN:0198506732]	6	0.0051	1.41E-4	1.91E-1
GO_REGULATION_OF_CELL_CYCLE	1226	Any process that modulates the rate or extent of progression through the cell cycle. [GOC:ai, GOC:dph, GOC:tb]	6	0.0049	1.71E-4	1.91E-1
GO_CHROMOSOME_ORGANIZATION	1253	A process that is carried out at the cellular level that results in the assembly, arrangement of constituent parts, or disassembly of chromosomes, structures composed of a very long molecule of DNA and associated proteins that carries hereditary information. This term covers covalent modifications at the molecular level as well as spatial relationships among the major components of a chromosome. [GOC:ai, GOC:dph, GOC:jl, GOC:mah]	6	0.0048	1.93E-4	1.91E-1
GO_REGULATION_OF_CELL_CYCLE_PROCESS	791	Any process that modulates a cellular process that is involved in the progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events. [GOC:dph, GOC:tb]	5	0.0063	2E-4	1.91E-1
GO_ACTIN_FILAMENT_BASED_PROCESS	804	Any cellular process that depends upon or alters the actin cytoskeleton, that part of the cytoskeleton comprising actin filaments and their associated proteins. [GOC:mah]	5	0.0062	2.15E-4	1.91E-1
GO_REGULATION_OF_HYDROLASE_ACTIVITY	1302	Any process that modulates the frequency, rate or extent of hydrolase activity, the catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3. [EC:3.-.-.-, GOC:ai]	6	0.0046	2.37E-4	1.91E-1
GO_CELL_CYCLE	1881	The progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events. Canonically, the cell cycle comprises the replication and segregation of genetic material followed by the division of the cell, but in endocycles or syncytial cells nuclear replication or nuclear division may not be followed by cell division. [GOC:go_curators, GOC:mtg_cell_cycle]	7	0.0037	2.46E-4	1.91E-1
GO_REGULATION_OF_MACROAUTOPHAGY	176	Any process that modulates the frequency, rate or extent of macroautophagy. [GOC:krc]	3	0.0170	2.52E-4	1.91E-1
GO_TRANSFERRIN_TRANSPORT	36	The directed movement of transferrin into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:mlg]	2	0.0556	2.92E-4	2.01E-1
GO_CYTOSKELETON_ORGANIZATION	1396	A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures. [GOC:dph, GOC:jl, GOC:mah]	6	0.0043	3.45E-4	2.16E-1
GO_CELL_CYCLE_PROCESS	1422	The cellular process that ensures successive accurate and complete genome replication and chromosome segregation. [GOC:isa_complete, GOC:mtg_cell_cycle]	6	0.0042	3.8E-4	2.16E-1
GO_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION	206	Any signalling pathway that modulates the activity of a cell cycle cyclin-dependent protein kinase to modulate the switch from G1 phase to S phase of the cell cycle. [GO_REF:0000058, GOC:mtg_cell_cycle, GOC:TermGenie]	3	0.0146	3.99E-4	2.16E-1
GO_PROCESS_UTILIZING_AUTOPHAGIC_MECHANISM	532	A cellular process involving delivery of a portion of the cytoplasm to lysosomes or to the plant or fungal vacuole that does not involve direct transport through the endocytic or vacuolar protein sorting (Vps) pathways. This process typically leads to degradation of the cargo; however, it can also be used to deliver resident proteins, such as in the cytoplasm-to-vacuole targeting (Cvt) pathway. [PMID:21997368, PMID:22966490, PMID:28596378]	4	0.0075	4.88E-4	2.47E-1
GO_PROSTANOID_METABOLIC_PROCESS	49	The chemical reactions and pathways involving prostanoids, any compound based on or derived from the prostanoate structure. [ISBN:0198506732]	2	0.0408	5.43E-4	2.53E-1
GO_REGULATION_OF_PROTEIN_LOCALIZATION	994	Any process that modulates the frequency, rate or extent of any process in which a protein is transported to, or maintained in, a specific location. [GOC:dph, GOC:mah, GOC:tb]	5	0.0050	5.69E-4	2.53E-1
GO_MITOTIC_CELL_CYCLE	1053	Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent. [GOC:mah, ISBN:0815316194, Reactome:69278]	5	0.0047	7.38E-4	3.1E-1
GO_NEGATIVE_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	59	Any process that stops, prevents, or reduces the frequency, rate or extent of small GTPase mediated signal transduction. [GOC:ai]	2	0.0339	7.86E-4	3.13E-1
GO_CARBOHYDRATE_METABOLIC_PROCESS	630	The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y. Includes the formation of carbohydrate derivatives by the addition of a carbohydrate residue to another molecule. [GOC:mah, ISBN:0198506732]	4	0.0063	9.18E-4	3.19E-1
GO_MITOTIC_G1_S_TRANSITION_CHECKPOINT	64	A cell cycle checkpoint that detects and negatively regulates progression from G1 to S phase as part of a mitotic cell cycle. [GOC:mtg_cell_cycle]	2	0.0312	9.24E-4	3.19E-1
GO_NEGATIVE_REGULATION_OF_CELL_CYCLE	637	Any process that stops, prevents or reduces the rate or extent of progression through the cell cycle. [GOC:dph, GOC:go_curators, GOC:tb]	4	0.0063	9.56E-4	3.19E-1
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	281	A process in which a protein is transported to, or maintained in, a specific location in the plasma membrane. [GOC:mah]	3	0.0107	9.82E-4	3.19E-1
GO_REGULATION_OF_MITOTIC_CELL_CYCLE	666	Any process that modulates the rate or extent of progress through the mitotic cell cycle. [GOC:dph, GOC:go_curators, GOC:tb]	4	0.0060	1.13E-3	3.19E-1
GO_RNA_DEPENDENT_DNA_BIOSYNTHETIC_PROCESS	71	A DNA biosynthetic process that uses RNA as a template for RNA-dependent DNA polymerases (e.g. reverse transcriptase) that synthesize the new strand. [GOC:mah, ISBN:0198506732]	2	0.0282	1.14E-3	3.19E-1
GO_POSITIVE_REGULATION_OF_CELL_CYCLE_PROCESS	302	Any process that increases the rate, frequency or extent of a cellular process that is involved in the progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events. [GOC:dph, GOC:tb]	3	0.0099	1.21E-3	3.19E-1
GO_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS	75	A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a small ribosomal subunit; includes transport to the sites of protein synthesis. [GOC:jl]	2	0.0267	1.27E-3	3.19E-1
GO_CELL_CYCLE_G1_S_PHASE_TRANSITION	310	The cell cycle process by which a cell in G1 phase commits to S phase. [GOC:mtg_cell_cycle]	3	0.0097	1.3E-3	3.19E-1
GO_MACROAUTOPHAGY	310	The major inducible pathway for the general turnover of cytoplasmic constituents in eukaryotic cells, it is also responsible for the degradation of active cytoplasmic enzymes and organelles during nutrient starvation. Macroautophagy involves the formation of double-membrane-bounded autophagosomes which enclose the cytoplasmic constituent targeted for degradation in a membrane-bounded structure.  Autophagosomes then fuse with a lysosome (or vacuole) releasing single-membrane-bounded autophagic bodies that are then degraded within the lysosome (or vacuole). Some types of macroautophagy, e.g. pexophagy, mitophagy, involve selective targeting of the targets to be degraded. [PMID:11099404, PMID:12914914, PMID:15798367, PMID:16973210, PMID:20159618, PMID:9412464]	3	0.0097	1.3E-3	3.19E-1
GO_RIBOSOME_BIOGENESIS	310	A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of ribosome subunits; includes transport to the sites of protein synthesis. [GOC:ma, PMID:26404467, Wikipedia:Ribosome_biogenesis]	3	0.0097	1.3E-3	3.19E-1
GO_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR	78	A series of molecular signals in which an intracellular signal is conveyed to trigger the apoptotic death of a cell. The pathway is induced by the cell cycle regulator phosphoprotein p53, or an equivalent protein, and ends when the execution phase of apoptosis is triggered. [GOC:mah, GOC:mtg_apoptosis]	2	0.0256	1.37E-3	3.19E-1
GO_IRON_ION_TRANSPORT	79	The directed movement of iron (Fe) ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]	2	0.0253	1.4E-3	3.19E-1
GO_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	323	Any process that modulates the frequency, rate or extent of small GTPase mediated signal transduction. [GOC:go_curators]	3	0.0093	1.46E-3	3.19E-1
GO_POSITIVE_REGULATION_OF_CELL_CYCLE_ARREST	81	Any process that increases the rate, frequency, or extent of cell cycle arrest, the process in which the cell cycle is halted during one of the normal phases. [GOC:mah]	2	0.0247	1.47E-3	3.19E-1
GO_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING	81	Any process that contributes to the maintenance of proper telomeric length and structure by affecting and monitoring the activity of telomeric proteins and lengthening the telomeric DNA. [GOC:dph, GOC:tb]	2	0.0247	1.47E-3	3.19E-1
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	340	A process in which a protein is transported to, or maintained in, the cell periphery. [PMID:18216290]	3	0.0088	1.69E-3	3.57E-1
GO_REGULATION_OF_AUTOPHAGY	347	Any process that modulates the frequency, rate or extent of autophagy. Autophagy is the process in which cells digest parts of their own cytoplasm. [GOC:dph, GOC:tb]	3	0.0086	1.8E-3	3.65E-1
GO_RETROGRADE_TRANSPORT_ENDOSOME_TO_GOLGI	92	The directed movement of membrane-bounded vesicles from endosomes back to the trans-Golgi network where they are recycled for further rounds of transport. [GOC:jl, PMID:10873832, PMID:16936697]	2	0.0217	1.9E-3	3.65E-1
GO_POSITIVE_REGULATION_OF_HYDROLASE_ACTIVITY	771	Any process that activates or increases the frequency, rate or extent of hydrolase activity, the catalysis of the hydrolysis of various bonds. [GOC:ai]	4	0.0052	1.93E-3	3.65E-1
GO_REGULATION_OF_ORGANELLE_ORGANIZATION	1310	Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of an organelle. [GOC:mah]	5	0.0038	1.95E-3	3.65E-1
