Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
REACTOME_TRANSLATION	295	Translation	13	0.0441	6.59E-14	1.02E-10
REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI	613	Cellular responses to external stimuli	15	0.0245	3.33E-12	2.59E-9
REACTOME_METABOLISM_OF_RNA	672	Metabolism of RNA	15	0.0223	1.22E-11	6.3E-9
REACTOME_INFECTIOUS_DISEASE	866	Infectious disease	16	0.0185	3.87E-11	1.5E-8
REACTOME_DISEASE	1580	Disease	20	0.0127	8.89E-11	2.76E-8
REACTOME_SELENOAMINO_ACID_METABOLISM	118	Selenoamino acid metabolism	8	0.0678	1.77E-10	4.5E-8
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	120	Eukaryotic Translation Initiation	8	0.0667	2.03E-10	4.5E-8
REACTOME_INFLUENZA_INFECTION	157	Influenza Infection	8	0.0510	1.73E-9	3.36E-7
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	102	Response of EIF2AK4 (GCN2) to amino acid deficiency	7	0.0686	2.36E-9	4.07E-7
REACTOME_NONSENSE_MEDIATED_DECAY_NMD_	116	Nonsense-Mediated Decay (NMD)	7	0.0603	5.81E-9	9.03E-7
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	374	Metabolism of amino acids and derivatives	10	0.0267	7.48E-9	1.06E-6
REACTOME_RRNA_PROCESSING	205	rRNA processing	8	0.0390	1.41E-8	1.82E-6
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	580	Nervous system development	11	0.0190	4.31E-8	4.85E-6
REACTOME_VESICLE_MEDIATED_TRANSPORT	724	Vesicle-mediated transport	12	0.0166	4.37E-8	4.85E-6
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	94	Eukaryotic Translation Elongation	6	0.0638	5.34E-8	5.53E-6
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	172	Regulation of expression of SLITs and ROBOs	7	0.0407	8.84E-8	8.59E-6
REACTOME_MEMBRANE_TRAFFICKING	629	Membrane Trafficking	11	0.0175	9.75E-8	8.92E-6
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	113	SRP-dependent cotranslational protein targeting to membrane	6	0.0531	1.6E-7	1.39E-5
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	60	Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	5	0.0833	1.9E-7	1.55E-5
REACTOME_SIGNALING_BY_ROBO_RECEPTORS	218	Signaling by ROBO receptors	7	0.0321	4.41E-7	3.43E-5
REACTOME_RHO_GTPASE_EFFECTORS	324	RHO GTPase Effectors	8	0.0247	4.7E-7	3.48E-5
REACTOME_INNATE_IMMUNE_SYSTEM	1114	Innate Immune System	13	0.0117	6.41E-7	4.53E-5
REACTOME_TRNA_AMINOACYLATION	42	tRNA Aminoacylation	4	0.0952	1.98E-6	1.34E-4
REACTOME_CELL_CYCLE	693	Cell Cycle	10	0.0144	2.19E-6	1.42E-4
REACTOME_CHK1_CHK2_CDS1_MEDIATED_INACTIVATION_OF_CYCLIN_B_CDK1_COMPLEX	13	Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex	3	0.2308	2.59E-6	1.61E-4
REACTOME_CELL_CYCLE_CHECKPOINTS	292	Cell Cycle Checkpoints	7	0.0240	3.08E-6	1.84E-4
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA_	15	Activation of BAD and translocation to mitochondria	3	0.2000	4.11E-6	2.37E-4
REACTOME_SIGNALING_BY_RHO_GTPASES	454	Signaling by Rho GTPases	8	0.0176	5.73E-6	3.18E-4
REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS	18	Cell-extracellular matrix interactions	3	0.1667	7.35E-6	3.94E-4
REACTOME_NEUTROPHIL_DEGRANULATION	479	Neutrophil degranulation	8	0.0167	8.46E-6	4.38E-4
REACTOME_TRANSLOCATION_OF_SLC2A4_GLUT4_TO_THE_PLASMA_MEMBRANE	72	Translocation of SLC2A4 (GLUT4) to the plasma membrane	4	0.0556	1.74E-5	8.71E-4
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION	24	Cytosolic tRNA aminoacylation	3	0.1250	1.81E-5	8.77E-4
REACTOME_PROTEIN_LOCALIZATION	164	Protein localization	5	0.0305	2.72E-5	1.25E-3
REACTOME_DEVELOPMENTAL_BIOLOGY	1131	Developmental Biology	11	0.0097	2.73E-5	1.25E-3
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	82	Antiviral mechanism by IFN-stimulated genes	4	0.0488	2.91E-5	1.29E-3
REACTOME_G2_M_CHECKPOINTS	168	G2/M Checkpoints	5	0.0298	3.05E-5	1.32E-3
REACTOME_TP53_REGULATES_METABOLIC_GENES	86	TP53 Regulates Metabolic Genes	4	0.0465	3.51E-5	1.47E-3
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	30	Activation of BH3-only proteins	3	0.1000	3.59E-5	1.47E-3
REACTOME_RHO_GTPASES_ACTIVATE_PKNS	94	RHO GTPases activate PKNs	4	0.0426	4.97E-5	1.98E-3
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT	95	G2/M DNA damage checkpoint	4	0.0421	5.18E-5	2.01E-3
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS	101	Cellular response to heat stress	4	0.0396	6.58E-5	2.49E-3
REACTOME_INTERFERON_SIGNALING	203	Interferon Signaling	5	0.0246	7.5E-5	2.77E-3
REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS	39	Association of TriC/CCT with target proteins during biosynthesis	3	0.0769	7.97E-5	2.88E-3
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP_	42	Activation of gene expression by SREBF (SREBP)	3	0.0714	9.96E-5	3.52E-3
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	362	Transcriptional Regulation by TP53	6	0.0166	1.25E-4	4.32E-3
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION	1373	RNA Polymerase II Transcription	11	0.0080	1.54E-4	5.12E-3
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	126	MHC class II antigen presentation	4	0.0317	1.55E-4	5.12E-3
REACTOME_CELL_CELL_COMMUNICATION	130	Cell-Cell communication	4	0.0308	1.75E-4	5.66E-3
REACTOME_CELL_CYCLE_MITOTIC	561	Cell Cycle, Mitotic	7	0.0125	1.95E-4	6.09E-3
REACTOME_FOLDING_OF_ACTIN_BY_CCT_TRIC	10	Folding of actin by CCT/TriC	2	0.2000	1.98E-4	6.09E-3
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	53	Intrinsic Pathway for Apoptosis	3	0.0566	2E-4	6.09E-3
REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF_	55	Regulation of cholesterol biosynthesis by SREBP (SREBF)	3	0.0545	2.23E-4	6.67E-3
REACTOME_REGULATION_OF_LOCALIZATION_OF_FOXO_TRANSCRIPTION_FACTORS	12	Regulation of localization of FOXO transcription factors	2	0.1667	2.89E-4	8.49E-3
REACTOME_PEROXISOMAL_PROTEIN_IMPORT	63	Peroxisomal protein import	3	0.0476	3.34E-4	9.6E-3
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	818	Adaptive Immune System	8	0.0098	3.51E-4	9.93E-3
