Gene Set Name	Genes in Gene Set (K)	Description	Genes in Overlap (k)	k/K	p-value	FDR q-value
GSE360_CTRL_VS_L_MAJOR_MAC_UP	200	Genes up-regulated in comparison of macrophages versus macrophages exposed to L. major.	11	0.0550	6.84E-11	3.33E-7
GSE22886_NEUTROPHIL_VS_MONOCYTE_DN	199	Genes down-regulated in comparison of neutrophils versusl monocytes.	10	0.0503	1.25E-9	2.12E-6
GSE21927_GMCSF_IL6_VS_GMCSF_GCSF_TREATED_BONE_MARROW_DN	200	Genes down-regulated in CD11b BoneMarrow from BALBc mouse incubated with GMCSF and IL-6 versus CD11b BoneMarrow from BALBc mouse incubated with GMCSF and GCSF.	10	0.0500	1.31E-9	2.12E-6
GSE22432_MULTIPOTENT_VS_COMMON_DC_PROGENITOR_UNTREATED_UP	200	Genes up-regulated in amplified multipotent progenitors versus cultured untreated common dendritic cell progenitors.	9	0.0450	2.24E-8	1.82E-5
GSE5142_HTERT_TRANSDUCED_VS_CTRL_CD8_TCELL_LATE_PASSAGE_CLONE_UP	200	Genes up-regulated in CD8 T cells: early passage clone over-expressing TERT [GeneID=7015] versus late passage control.	9	0.0450	2.24E-8	1.82E-5
GSE5589_UNSTIM_VS_45MIN_LPS_AND_IL6_STIM_MACROPHAGE_DN	200	Genes down-regulated in bone marrow-derived macrophages: untreated (0 min) versus IL6 [GeneID=3569] and LPS (45 min).	9	0.0450	2.24E-8	1.82E-5
GSE25146_UNSTIM_VS_HELIOBACTER_PYLORI_LPS_STIM_AGS_CELL_UP	180	Genes up-regulated in AGS cells (gastric adenocarcinoma): control versus H. pylori LPS.	8	0.0444	1.53E-7	6.68E-5
GSE12366_GC_BCELL_VS_PLASMA_CELL_UP	196	Genes up-regulated in comparison of germinal center B cells versus plasma cells.	8	0.0408	2.94E-7	6.68E-5
GSE12366_GC_VS_NAIVE_BCELL_UP	198	Genes up-regulated in comparison of germinal center B cells versus naive B cells.	8	0.0404	3.17E-7	6.68E-5
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_16H_UP	199	Genes up-regulated in comparison of control conventional dendritic cells (cDC) at 0 h versus cDCs infected with Newcastle disease virus (NDV) at 16 h.	8	0.0402	3.3E-7	6.68E-5
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_6H_UP	199	Genes up-regulated in comparison of control conventional dendritic cells (cDC) at 0 h versus cDCs infected with Newcastle disease virus (NDV) at 6 h.	8	0.0402	3.3E-7	6.68E-5
GSE3982_EOSINOPHIL_VS_MAC_DN	199	Genes down-regulated in comparison of eosinophils versus macrophages.	8	0.0402	3.3E-7	6.68E-5
GSE5589_LPS_VS_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_DN	199	Genes down-regulated in bone marrow-derived macrophage (45 min): LPS versus IL6 [GeneID=3569] and LPS.	8	0.0402	3.3E-7	6.68E-5
GSE1460_CD4_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_UP	200	Genes up-regulated in comparison of CD4 [GeneID=920] thymocytes versus naive CD4 [GeneID=920] T cells from cord blood.	8	0.0400	3.43E-7	6.68E-5
GSE19825_NAIVE_VS_IL2RAHIGH_DAY3_EFF_CD8_TCELL_DN	200	Genes down-regulated in comparison of naive CD8 T cells versus effector CD8 IL2RA [GeneID=3559] high T cells at.	8	0.0400	3.43E-7	6.68E-5
GSE22601_DOUBLE_NEGATIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_UP	200	Genes up-regulated in thymocytes: double negative versus CD4 [GeneID=920] single positive.	8	0.0400	3.43E-7	6.68E-5
GSE22886_NAIVE_CD8_TCELL_VS_NEUTROPHIL_UP	200	Genes up-regulated in comparison of naive CD8 T cells versus unstimulated neutrophils.	8	0.0400	3.43E-7	6.68E-5
GSE24026_PD1_LIGATION_VS_CTRL_IN_ACT_TCELL_LINE_DN	200	Genes down-regulated in comparison of Jurkat T cells stimulated in the presence of PD-1 versus controls.	8	0.0400	3.43E-7	6.68E-5
GSE24574_BCL6_LOW_TFH_VS_TCONV_CD4_TCELL_DN	200	Genes down-regulated in BCL6 [GeneID=604] low follicular helper T cells versus T conv cells.	8	0.0400	3.43E-7	6.68E-5
GSE2770_UNTREATED_VS_ACT_CD4_TCELL_2H_DN	200	Genes down-regulated in CD4 [GeneID=920] T cells: untreated (0h) versus activated by anti-CD3 and anti-CD28 (2h).	8	0.0400	3.43E-7	6.68E-5
GSE27786_LSK_VS_NKCELL_UP	200	Genes up-regulated in comparison of LSK versus NK cells.	8	0.0400	3.43E-7	6.68E-5
GSE28726_ACT_CD4_TCELL_VS_ACT_NKTCELL_UP	200	Genes up-regulated in activated T cells: CD4 [GeneID=920] versus NKT.	8	0.0400	3.43E-7	6.68E-5
GSE36826_WT_VS_IL1R_KO_SKIN_STAPH_AUREUS_INF_UP	200	Genes up-regulated in lesional skin biopsies after S. aureus infection: wildtype versus IL1R1 [GeneID=3554].	8	0.0400	3.43E-7	6.68E-5
GSE3720_VD1_VS_VD2_GAMMADELTA_TCELL_WITH_PMA_STIM_UP	200	Genes up-regulated in gamma delta T cells stimulated by phorbol myristate acetate and ionomycin [PubChem=4792;3733]: Vd1 versus Vd2.	8	0.0400	3.43E-7	6.68E-5
GSE3982_NKCELL_VS_TH2_DN	200	Genes down-regulated in comparison of NK cells versus Th2 cells.	8	0.0400	3.43E-7	6.68E-5
GSE7568_IL4_VS_IL4_AND_DEXAMETHASONE_TREATED_MACROPHAGE_UP	171	Genes up-regulated in macrophages differentiated for 5 days in the presence of: IL4 [GeneID=3565] versus IL4 [GeneID=3565] and dexamethasone [PubChem=5743].	7	0.0409	1.63E-6	3.05E-4
GSE4984_UNTREATED_VS_VEHICLE_CTRL_TREATED_DC_DN	173	Genes down-regulated in monocyte-derived dendritic cells: untreated versus vehicle.	7	0.0405	1.76E-6	3.18E-4
GSE14415_ACT_VS_CTRL_NATURAL_TREG_UP	183	Genes up-regulated in natural T reg: activated versus naïve.	7	0.0383	2.56E-6	3.61E-4
GSE14415_INDUCED_TREG_VS_FAILED_INDUCED_TREG_UP	185	Genes up-regulated in T reg: induced versus failed induced.	7	0.0378	2.75E-6	3.61E-4
GSE7218_IGM_VS_IGG_SIGNAL_THGOUGH_ANTIGEN_BCELL_UP	187	Genes up-regulated in B lymphocytes treated by anti-HEL and expressing BCR [GeneID=613] fusions with: IgM versus IgMG.	7	0.0374	2.95E-6	3.61E-4
GSE360_T_GONDII_VS_B_MALAYI_LOW_DOSE_MAC_UP	196	Genes up-regulated in comparison of macrophages exposed to T. gondii versus macrophages exposed to 5 worms/well B. malayi.	7	0.0357	4.02E-6	3.61E-4
GSE13411_NAIVE_VS_MEMORY_BCELL_DN	198	Genes down-regulated in comparison of naive B cells versus memory B cells.	7	0.0354	4.3E-6	3.61E-4
GSE21063_3H_VS_16H_ANTI_IGM_STIM_NFATC1_KOBCELL_UP	198	Genes up-regulated in B lymphocytes with NFATC1 [GeneID=4772] knockout stimulated by anti-IgM: 3h versus 16h.	7	0.0354	4.3E-6	3.61E-4
GSE15330_WT_VS_IKAROS_KO_HSC_DN	199	Genes down-regulated in hematopoietic stem cells: wildtype versus IKZF1 [GeneID=10320] knockout.	7	0.0352	4.45E-6	3.61E-4
GSE17721_0.5H_VS_8H_GARDIQUIMOD_BMDC_DN	199	Genes down-regulated in comparison of dendritic cells (DC) stimulated with Gardiquimod (TLR7 agonist) at 0.5 h versus those stimulated with Gardiquimod (TLR7 agonist) at 8 h.	7	0.0352	4.45E-6	3.61E-4
GSE17721_PAM3CSK4_VS_CPG_16H_BMDC_DN	199	Genes down-regulated in comparison of dendritic cells (DC) stimulated with Pam3Csk4 (TLR1/2 agonist) at 16 h versus DC cells stimulated with CpG DNA (TLR9 agonist) at 16 h.	7	0.0352	4.45E-6	3.61E-4
GSE22886_NAIVE_TCELL_VS_NEUTROPHIL_UP	199	Genes up-regulated in comparison of naive CD4 [GeneID=920] CD8 T cells versus unstimulated neutrophils.	7	0.0352	4.45E-6	3.61E-4
GSE369_SOCS3_KO_VS_WT_LIVER_UP	199	Genes up-regulated in livers: SOCS3 [GeneID=9021] knockout versus wildtype.	7	0.0352	4.45E-6	3.61E-4
GSE3982_MEMORY_CD4_TCELL_VS_TH1_DN	199	Genes down-regulated in comparison of memory CD4 [GeneID=920] T cells versus Th1 cells.	7	0.0352	4.45E-6	3.61E-4
GSE557_WT_VS_I_AB_KO_DC_DN	199	Genes down-regulated in dendritic cells: wildtype versus I ab-/- mice.	7	0.0352	4.45E-6	3.61E-4
GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_DN	200	Genes down-regulated in comparison of memory CD8 T cells versus effector CD8 T cells KLRG1 high [GeneID=10219].	7	0.0350	4.6E-6	3.61E-4
GSE10239_NAIVE_VS_DAY4.5_EFF_CD8_TCELL_DN	200	Genes down-regulated in comparison of naive vs effector CD8 T cells (4-5 days postinfection).	7	0.0350	4.6E-6	3.61E-4
GSE10239_NAIVE_VS_KLRG1HIGH_EFF_CD8_TCELL_DN	200	Genes down-regulated in comparison of naive CD8 T cells versus effector CD8 T cells KLRG1 high [GeneID=10219].	7	0.0350	4.6E-6	3.61E-4
GSE10273_HIGH_VS_LOW_IL7_TREATED_IRF4_8_NULL_PRE_BCELL_UP	200	Genes up-regulated in IRF4 and IRF8 [GeneID=3662;3394] null pre-B cells treated with IL7 [GeneID=3574]: 5 ng/ml versus 0.25ng/ml.	7	0.0350	4.6E-6	3.61E-4
GSE13484_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP	200	Genes up-regulated in comparison of unstimulated peripheral blood mononuclear cells (PBMC) versus PBMC stimulated with YF17D vaccine.	7	0.0350	4.6E-6	3.61E-4
GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_UP	200	Genes up-regulated in comparison of wild type CD8 effector T cells at day 6 versus those at day 10.	7	0.0350	4.6E-6	3.61E-4
GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_CD8_TCELL_DN	200	Genes down-regulated in comparison of CD8 T cells at 0 h versus those at 72 h.	7	0.0350	4.6E-6	3.61E-4
GSE16451_CTRL_VS_WEST_EQUINE_ENC_VIRUS_IMMATURE_NEURON_CELL_LINE_DN	200	Genes down-regulated in the immature neuron cell line: control versus infected with western equine encephalitis viruss.	7	0.0350	4.6E-6	3.61E-4
GSE17721_0.5H_VS_24H_GARDIQUIMOD_BMDC_DN	200	Genes down-regulated in comparison of dendritic cells (DC) stimulated with Gardiquimod (TLR7 agonist) at 0.5 h versus those stimulated with Gardiquimod (TLR7 agonist) at 24 h.	7	0.0350	4.6E-6	3.61E-4
GSE17721_POLYIC_VS_GARDIQUIMOD_16H_BMDC_DN	200	Genes down-regulated in comparison of dendritic cells (DC) stimulated with poly(I:C) (TLR3 agonist) at 16 h versus DC cells stimulated with Gardiquimod (TLR7 agonist) at 16 h.	7	0.0350	4.6E-6	3.61E-4
GSE19825_CD24LOW_VS_IL2RA_HIGH_DAY3_EFF_CD8_TCELL_DN	200	Genes down-regulated in comparison of effector CD8 IL2RA [GeneID=3559] low T cells versus effector CD8 IL2RA [GeneID=3559] high cells.	7	0.0350	4.6E-6	3.61E-4
GSE22886_NAIVE_CD4_TCELL_VS_NEUTROPHIL_UP	200	Genes up-regulated in comparison of naive CD4 [GeneID=920] T cells versus unstimulated neutrophils.	7	0.0350	4.6E-6	3.61E-4
GSE24634_NAIVE_CD4_TCELL_VS_DAY5_IL4_CONV_TREG_DN	200	Genes down-regulated in comparison of naive T cells at day 0 versus CD25+ regulatory T cell (Treg) treated with IL4 [GeneID=3565] at day 5.	7	0.0350	4.6E-6	3.61E-4
GSE27786_LIN_NEG_VS_NKCELL_UP	200	Genes up-regulated in comparison of lineage negative versus NK cells.	7	0.0350	4.6E-6	3.61E-4
GSE28726_NAIVE_VS_ACTIVATED_VA24NEG_NKTCELL_UP	200	Genes up-regulated in Va24- NKT cells: naïve versus activated.	7	0.0350	4.6E-6	3.61E-4
GSE360_HIGH_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_DC_UP	200	Genes up-regulated in comparison of dendritic cells (DC) exposed to 50 worms/well B. malayi versus DC exposed to M. tuberculosis	7	0.0350	4.6E-6	3.61E-4
GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_OLD_DN	200	Genes down-regulated in comparison of untreated CD4 [GeneID=920] memory T cells from old donors versus those treated with TSST at 72 h.	7	0.0350	4.6E-6	3.61E-4
GSE3982_NEUTROPHIL_VS_BASOPHIL_DN	200	Genes down-regulated in comparison of neutrophils versus basophils.	7	0.0350	4.6E-6	3.61E-4
GSE42021_CD24HI_VS_CD24INT_TCONV_THYMUS_UP	200	Genes up-regulated in thymic T conv: CD24 high [GeneID=100133941] versus CD24 int [GeneID=100133941].	7	0.0350	4.6E-6	3.61E-4
GSE43955_TH0_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_60H_UP	200	Genes up-regulated in CD4 [GeneID=920] T helper cells (60h): Th0 versus Th17 treated with TGFB1, IL6 [GeneID=7040;3569] and IL-23.	7	0.0350	4.6E-6	3.61E-4
GSE45837_WT_VS_GFI1_KO_PDC_DN	200	Genes down-regulated in plasmacytoid dendritic cells: wildtype versus GFI1 [GeneID=2672] knockout.	7	0.0350	4.6E-6	3.61E-4
GSE6674_CPG_VS_PL2_3_STIM_BCELL_DN	200	Genes down-regulated in B lymphocytes: CpG oligodeoxynucleotide 1826 versus PL2-3 (Chromatin IC).	7	0.0350	4.6E-6	3.61E-4
